Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french
27,3,_____ Frühling,der,der Frühling,the spring,le printemps,seasons are Masculine,les saisons sont Masculines
28,4,_____ Lehrer,der,der Lehrer,the teacher,l'enseignant,professions finishing in -er are Masculine,les professions se terminant par -er sont Masculines.
29,1,_____ Sportler,der,der Sportler,the athlete,l'athlète,professions finishing in -er are Masculine,les professions se terminant par -er sont Masculines.
30,2,_____ Bäcker,der,der Bäcker,the baker,le boulanger,professions finishing in -er are Masculine,les professions se terminant par -er sont Masculines.
31,3,_____ Verkäufer,der,der Verkäufer,the seller,le vendeur,professions finishing in -er are Masculine,les professions se terminant par -er sont Masculines.
32,4,_____ Fahrer,der,der Fahrer,the driver,le conducteur,professions finishing in -er are Masculine,les professions se terminant par -er sont Masculines.
33,1,_____ Pflanze,die,die Pflanze,the plant,la plante,nature words are usually Feminine,les mots liés à la nature sont généralement Féminins.
34,2,_____ Blume,die,die Blume,the flower,la fleur,nature words are usually Feminine,les mots liés à la nature sont généralement Féminins.
35,3,_____ Aubergine,die,die Aubergine,the aubergine,l'aubergine,nature words are usually Feminine,les mots liés à la nature sont généralement Féminins.
36,4,_____ Karotte,die,die Karotte,the carrot,la carotte,nature words are usually Feminine,les mots liés à la nature sont généralement Féminins.
37,1,_____ Zwiebel,die,die Zwiebel,the onion,l'oignon,nature words are usually Feminine,les mots liés à la nature sont généralement Féminins.
38,2,_____ Kartoffel,die,die Kartoffel,the potato,la pomme de terre,nature words are usually Feminine,les mots liés à la nature sont généralement Féminins.
39,3,_____ Himbeere,die,die Himbeere,the raspberry,la framboise,nature words are usually Feminine,les mots liés à la nature sont généralement Féminins.
40,4,_____ Heidelbeere,die,die Heidelbeere,the blueberry,la myrtille,nature words are usually Feminine,les mots liés à la nature sont généralement Féminins.
41,1,_____ Erdbeere,die,die Erdbeere,the strawberry,la fraise,nature words are usually Feminine,les mots liés à la nature sont généralement Féminins.
42,2,_____ Birne,die,die Birne,the pear,la poire,nature words are usually Feminine,les mots liés à la nature sont généralement Féminins.
43,3,_____ Zeitung,die,die Zeitung,the newspaper,le journal,words finishing in -ung are Feminine,les mots se terminant par -ung sont Féminins.
44,4,_____ Heizung,die,die Heizung,the heating system,le système de chauffage,words finishing in -ung are Feminine,les mots se terminant par -ung sont Féminins.
45,1,_____ Rechnung,die,die Rechnung,the bill,le projet de loi,words finishing in -ung are Feminine,les mots se terminant par -ung sont Féminins.
46,2,_____ Zahlung,die,die Zahlung,the payment,le paiement,words finishing in -ung are Feminine,les mots se terminant par -ung sont Féminins.
47,3,_____ Erklärung,die,die Erklärung,the explanation,l'explication,words finishing in -ung are Feminine,les mots se terminant par -ung sont Féminins.
48,4,_____ Bewegung,die,die Bewegung,the movement,le mouvement,words finishing in -ung are Feminine,les mots se terminant par -ung sont Féminins.
49,1,_____ Einladung,die,die Einladung,the invitation,l'invitation,words finishing in -ung are Feminine,les mots se terminant par -ung sont Féminins.
50,2,_____ Achtung,die,die Achtung,the respect,le respect,words finishing in -ung are Feminine,les mots se terminant par -ung sont Féminins.
51,3,_____ Verbesserung,die,die Verbesserung,the improvement,l'amélioration,words finishing in -ung are Feminine,les mots se terminant par -ung sont Féminins.
52,4,_____ Ordnung,die,die Ordnung,the order,l'ordre,words finishing in -ung are Feminine,les mots se terminant par -ung sont Féminins.
53,1,_____ Lampe,die,die Lampe,the lamp,la lampe,most words finishing in -e are Feminine,la majorité des mots se terminant par -e sont Féminins.
54,2,_____ Sonne,die,die Sonne,the sun,le soleil,most words finishing in -e are Feminine,la majorité des mots se terminant par -e sont Féminins.
55,3,_____ Pause,die,die Pause,the break,la pause,most words finishing in -e are Feminine,la majorité des mots se terminant par -e sont Féminins.
56,4,_____ Straße,die,die Straße,the street,la rue,most words finishing in -e are Feminine,la majorité des mots se terminant par -e sont Féminins.
57,1,_____ Tasche,die,die Tasche,the bag,le sac,most words finishing in -e are Feminine,la majorité des mots se terminant par -e sont Féminins.
58,2,_____ Frage,die,die Frage,the question,la question,most words finishing in -e are Feminine,la majorité des mots se terminant par -e sont Féminins.
59,3,_____ Blume,die,die Blume,the flower,la fleur,most words finishing in -e are Feminine,la majorité des mots se terminant par -e sont Féminins.
60,4,_____ Luge,die,die Luge,the lie,le mensonge,most words finishing in -e are Feminine,la majorité des mots se terminant par -e sont Féminins.
61,1,_____ Straße,die,die Straße,the street,la rue,most words finishing in -e are Feminine,la majorité des mots se terminant par -e sont Féminins.
62,2,_____ Sonne,die,die Sonne,the sun,le soleil,most words finishing in -e are Feminine,la majorité des mots se terminant par -e sont Féminins.
63,3,_____ Nase,die,die Nase,the nose,le nez,most words finishing in -e are Feminine,la majorité des mots se terminant par -e sont Féminins.
64,4,_____ Leute,die,die Leute,the people,le peuple,most words finishing in -e are Feminine,la majorité des mots se terminant par -e sont Féminins.
65,1,_____ Erde,die,die Erde,the earth,la terre,most words finishing in -e are Feminine,la majorité des mots se terminant par -e sont Féminins.
66,2,_____ Ärztin,die,die Ärztin,the doctor,le médecin,professions finishing in -in are Feminine,la majorité des mots se terminant par -e sont Féminins.
67,3,_____ Lehrerin,die,die Lehrerin,the teacher,l'enseignant,professions finishing in -in are Feminine,la majorité des mots se terminant par -e sont Féminins.
68,4,_____ Bäckerin,die,die Bäckerin,the baker,le boulanger,professions finishing in -in are Feminine,la majorité des mots se terminant par -e sont Féminins.
69,1,_____ Fahrerin,die,die Fahrerin,the driver,le conducteur,professions finishing in -in are Feminine,la majorité des mots se terminant par -e sont Féminins.
70,2,_____ Verkäuferin,die,die Verkäuferin,the saleswoman,la vendeuse,professions finishing in -in are Feminine,la majorité des mots se terminant par -e sont Féminins.
71,3,_____ Baby,das,das Baby,the baby,le bébé,young individuals and young animals are usually Neuter,les jeunes individus et les jeunes animaux sont généralement Neutres
72,4,_____ Kind,das,das Kind,the child,l'enfant,young individuals and young animals are usually Neuter,les jeunes individus et les jeunes animaux sont généralement Neutres
73,1,_____ Lamm,das,das Lamm,the lamb,l'agneau,young individuals and young animals are usually Neuter,les jeunes individus et les jeunes animaux sont généralement Neutres
74,2,_____ Ferkel,das,das Ferkel,the piglet,le porcelet,young individuals and young animals are usually Neuter,les jeunes individus et les jeunes animaux sont généralement Neutres
75,3,_____ Kalb,das,das Kalb,the calf,le veau,young individuals and young animals are usually Neuter,les jeunes individus et les jeunes animaux sont généralement Neutres
76,5,_____ Nacht,die,die Nacht,the night,la nuit,part of the day are mostly Masculine,les parties de la journée sont principalement Masculines.
77,5,_____ Baum,der,der Baum,the tree,l'arbre,nature words are usually Feminine,les mots liés à la nature sont généralement Féminins.
78,5,_____ Apfel,der,der Apfel,the Apple,la pomme,nature words are usually Feminine,les mots liés à la nature sont généralement Féminins.
79,5,_____ Sellerie,der,der Sellerie,the celery,le céleri,nature words are usually Feminine,les mots liés à la nature sont généralement Féminins.
80,5,_____ Gras,das,das Gras,the grass,l'herbe,nature words are usually Feminine,les mots liés à la nature sont généralement Féminins.
81,5,_____ Auge,das,das Auge,the eye,l'œil,most words finishing in -e are Feminine,la majorité des mots se terminant par -e sont Féminins.
82,5,_____ Name,der,der Name,the name,le nom,most words finishing in -e are Feminine,la majorité des mots se terminant par -e sont Féminins.
83,5,_____ Knoblauch,der,der Knoblauch,the garlic,l'ail,nature words are usually Feminine,les mots liés à la nature sont généralement Féminins.
84,5,_____ Salat,der,der Salat,the salad,la salade,nature words are usually Feminine,les mots liés à la nature sont généralement Féminins.
85,5,_____ Glaube,der,der Glaube,the belief,la croyance,most words finishing in -e are Feminine,la majorité des mots se terminant par -e sont Féminins.
86,5,_____ Löwe,der,der Löwe,the lion,le lion,most words finishing in -e are Feminine,la majorité des mots se terminant par -e sont Féminins.
87,5,_____ Kunde,der,der Kunde,the customer,le client,most words finishing in -e are Feminine,la majorité des mots se terminant par -e sont Féminins.
88,5,_____ Käse,der,der Käse,the cheese,le fromage,most words finishing in -e are Feminine,la majorité des mots se terminant par -e sont Féminins.
89,5,_____ Junge,der,der Junge,the boy,le garçon,most words finishing in -e are Feminine,la majorité des mots se terminant par -e sont Féminins.
90,5,_____ Ende,das,das Ende,the end,la fin,most words finishing in -e are Feminine,la majorité des mots se terminant par -e sont Féminins.
91,6,_____ Fernseher,der,der Fernseher,the TV,la télévision,appliances are usually Masculine,les appareils électroménagers sont généralement Masculins
92,7,_____ Computer,der,der Computer,the computer,l'ordinateur,appliances are usually Masculine,les appareils électroménagers sont généralement Masculins
93,8,_____ Mixer,der,der Mixer,the mixer,le mixeurs,appliances are usually Masculine,les appareils électroménagers sont généralement Masculins
94,9,_____ Kühlschrank,der,der Kühlschrank,the refrigerator,le réfrigérateur,appliances are usually Masculine,les appareils électroménagers sont généralement Masculins
95,6,_____ Herd,der,der Herd,the stove,la cuisinière,appliances are usually Masculine,les appareils électroménagers sont généralement Masculins
96,7,_____ Grill,der,der Grill,the grill,le gril,appliances are usually Masculine,les appareils électroménagers sont généralement Masculins
97,8,_____ Schnellkochtopf,der,der Schnellkochtopf,the pressure cooker,l'autocuiseur,appliances are usually Masculine,les appareils électroménagers sont généralement Masculins
98,9,_____ Toaster,der,der Toaster,the toaster,le grille-pain,appliances are usually Masculine,les appareils électroménagers sont généralement Masculins
99,6,_____ Ofen,der,der Ofen,the oven,le four,appliances are usually Masculine,les appareils électroménagers sont généralement Masculins
100,7,_____ Schweizer,der,der Schweizer,the swiss,le suisse,nationalities finishing in -er are Masculine,les nationalités se terminant par -er sont Masculines
101,8,_____ Italiener,der,der Italiener,the Italian,l'Italien,nationalities finishing in -er are Masculine,les nationalités se terminant par -er sont Masculines
102,9,_____ Amerikaner,der,der Amerikaner,the American,l'Américain,nationalities finishing in -er are Masculine,les nationalités se terminant par -er sont Masculines
103,6,_____ Spanier,der,der Spanier,the Spaniard,l'Espagnol,nationalities finishing in -er are Masculine,les nationalités se terminant par -er sont Masculines
104,7,_____ Brasilianer,der,der Brasilianer,the Brazilian,le Brésilien,nationalities finishing in -er are Masculine,les nationalités se terminant par -er sont Masculines
105,8,_____ Regen,der,der Regen,the rain,la pluie,weathers are usually Masculine,les temps sont généralement Masculins
106,9,_____ Hagel,der,der Hagel,the hail,la grêle,weathers are usually Masculine,les temps sont généralement Masculins
107,6,_____ Wind,der,der Wind,the wind,le vent,weathers are usually Masculine,les temps sont généralement Masculins
108,7,_____ Nebel,der,der Nebel,the fog,le brouillard,weathers are usually Masculine,les temps sont généralement Masculins
109,8,_____ Sturm,der,der Sturm,the storm,la tempête,weathers are usually Masculine,les temps sont généralement Masculins
110,9,_____ Schnee,der,der Schnee,the snow,la neige,weathers are usually Masculine,les temps sont généralement Masculins
111,6,_____ Motor,der,der Motor,the engine,le moteur,words finishing in -or are Masculine,les mots se terminant par -or sont Masculins
112,7,_____ Autor,der,der Autor,the author,l'auteur,words finishing in -or are Masculine,les mots se terminant par -or sont Masculins
113,8,_____ Direktor,der,der Direktor,the director,le directeur,words finishing in -or are Masculine,les mots se terminant par -or sont Masculins
114,9,_____ Professor,der,der Professor,the professor,le professeur,words finishing in -or are Masculine,les mots se terminant par -or sont Masculins
115,6,_____ Doktor,der,der Doktor,the doctor,le médecin,words finishing in -or are Masculine,les mots se terminant par -or sont Masculins
116,7,_____ Schweizerin,die,die Schweizerin,the Swiss woman,la Suissesse,nationalities finishing in -in are Feminine,les nationalités se terminant par -in sont Féminines
117,8,_____ Französin,die,die Französin,the Frenchwoman,la Française,nationalities finishing in -in are Feminine,les nationalités se terminant par -in sont Féminines
118,9,_____ Spanierin,die,die Spanierin,the Spanish woman,la femme espagnole,nationalities finishing in -in are Feminine,les nationalités se terminant par -in sont Féminines
119,6,_____ Polin,die,die Polin,the Polish woman,la femme polonaise,nationalities finishing in -in are Feminine,les nationalités se terminant par -in sont Féminines
120,7,_____ Kanadierin,die,die Kanadierin,the Canadian,le Canadien,nationalities finishing in -in are Feminine,les nationalités se terminant par -in sont Féminines
121,8,_____ Freiheit,die,die Freiheit,the freedom,la liberté,words finishing in -heit are Feminine,les mots se terminant par -heit sont Féminins
122,9,_____ Schönheit,die,die Schönheit,the beauty,la beauté,words finishing in -heit are Feminine,les mots se terminant par -heit sont Féminins
123,6,_____ Gesundheit,die,die Gesundheit,the health,la santé,words finishing in -heit are Feminine,les mots se terminant par -heit sont Féminins
124,7,_____ ​​Gleichheit,die,die ​​Gleichheit,the equality,l'égalité,words finishing in -heit are Feminine,les mots se terminant par -heit sont Féminins
125,8,_____ Reinheit,die,die Reinheit,the purity,la pureté,words finishing in -heit are Feminine,les mots se terminant par -heit sont Féminins
126,9,_____ Trockenheit,die,die Trockenheit,the drought,la sécheresse,words finishing in -heit are Feminine,les mots se terminant par -heit sont Féminins
127,6,_____ Minderheit,die,die Minderheit,the minority,la minorité,words finishing in -heit are Feminine,les mots se terminant par -heit sont Féminins
128,7,_____ Sicherheit,die,die Sicherheit,the safety,la sécurité,words finishing in -heit are Feminine,les mots se terminant par -heit sont Féminins
129,8,_____ Besonderheit,die,die Besonderheit,the special feature,la caractéristique spéciale,words finishing in -heit are Feminine,les mots se terminant par -heit sont Féminins
130,9,_____ Möglichkeit,die,die Möglichkeit,the possibility,la possibilité,words finishing in -keit are Feminine,les mots se terminant par -keit sont Féminins
131,6,_____ Gerechtigkeit,die,die Gerechtigkeit,the justice,la justice,words finishing in -keit are Feminine,les mots se terminant par -keit sont Féminins
132,7,_____ Fähigkeit,die,die Fähigkeit,the ability,la capacité,words finishing in -keit are Feminine,les mots se terminant par -keit sont Féminins
133,8,_____ Einsamkeit,die,die Einsamkeit,the loneliness,la solitude,words finishing in -keit are Feminine,les mots se terminant par -keit sont Féminins
134,9,_____ Arbeitslosigkeit,die,die Arbeitslosigkeit,the unemployment,le chômage,words finishing in -keit are Feminine,les mots se terminant par -keit sont Féminins
135,6,_____ Tätigkeit,die,die Tätigkeit,the activity,l'activité,words finishing in -keit are Feminine,les mots se terminant par -keit sont Féminins
136,7,_____ Freundlichkeit,die,die Freundlichkeit,the friendliness,la convivialité,words finishing in -keit are Feminine,les mots se terminant par -keit sont Féminins
137,8,_____ Aufmerksamkeit,die,die Aufmerksamkeit,the attention,l'attention,words finishing in -keit are Feminine,les mots se terminant par -keit sont Féminins
138,9,_____ Reaktion,die,die Reaktion,the reaction,la réaction,words finishing in -ion are Feminine,les mots se terminant par -ion sont Féminins
139,6,_____ Diskussion,die,die Diskussion,the discussion,la discussion,words finishing in -ion are Feminine,les mots se terminant par -ion sont Féminins
140,7,_____ Information,die,die Information,the information,l'information,words finishing in -ion are Feminine,les mots se terminant par -ion sont Féminins
141,8,_____ Definition,die,die Definition,the definition,la définition,words finishing in -ion are Feminine,les mots se terminant par -ion sont Féminins
142,9,_____ Emotion,die,die Emotion,the emotion,l'émotion,words finishing in -ion are Feminine,les mots se terminant par -ion sont Féminins
143,6,_____ Demonstration,die,die Demonstration,the demonstration,la démonstration,words finishing in -ion are Feminine,les mots se terminant par -ion sont Féminins
144,7,_____ Produktion,die,die Produktion,the production,la production,words finishing in -ion are Feminine,les mots se terminant par -ion sont Féminins
145,8,_____ Nation,die,die Nation,the nation,la nation,words finishing in -ion are Feminine,les mots se terminant par -ion sont Féminins
146,9,_____ Funktion,die,die Funktion,the function,la fonction,words finishing in -ion are Feminine,les mots se terminant par -ion sont Féminins
147,6,_____ Mädchen,das,das Mädchen,the girl,la fille,words finishing in -chen and -lein are Neuter,les mots se terminant par -chen et -lein sont Neutres
148,7,_____ Kätzchen,das,das Kätzchen,the kitten,le chaton,words finishing in -chen and -lein are Neuter,les mots se terminant par -chen et -lein sont Neutres
149,8,_____ Häuschen,das,das Häuschen,the little house,la petite maison,words finishing in -chen and -lein are Neuter,les mots se terminant par -chen et -lein sont Neutres
150,9,_____ Jährlein,das,das Jährlein,the year,l'année,words finishing in -chen and -lein are Neuter,les mots se terminant par -chen et -lein sont Neutres
151,6,_____ Fräulein,das,das Fräulein,the young lady,la jeune femme,words finishing in -chen and -lein are Neuter,les mots se terminant par -chen et -lein sont Neutres
152,7,_____ Dokument,das,das Dokument,the document,le document,words finishing in -ment are usually Neuter,les mots se terminant par -ment sont généralement Neutres
153,8,_____ Monument,das,das Monument,the monument,le monument,words finishing in -ment are usually Neuter,les mots se terminant par -ment sont généralement Neutres
154,9,_____ Testament,das,das Testament,the will,le testament,words finishing in -ment are usually Neuter,les mots se terminant par -ment sont généralement Neutres
155,6,_____ Medikament,das,das Medikament,the drug,le médicament,words finishing in -ment are usually Neuter,les mots se terminant par -ment sont généralement Neutres
156,7,_____ Instrument,das,das Instrument,the instrument,l'instrument,words finishing in -ment are usually Neuter,les mots se terminant par -ment sont généralement Neutres
157,8,_____ Kaffee,der,der Kaffee,the coffee,le café,plant-based drinks are usually Masculine,les boissons à base de plantes sont généralement Masculines
158,9,_____ Kakao,der,der Kakao,the cocoa,le cacao,plant-based drinks are usually Masculine,les boissons à base de plantes sont généralement Masculines
159,6,_____ Most,der,der Most,the cider,le cidre,plant-based drinks are usually Masculine,les boissons à base de plantes sont généralement Masculines
160,7,_____ Saft,der,der Saft,the juice,le jus,plant-based drinks are usually Masculine,les boissons à base de plantes sont généralement Masculines
161,8,_____ Tee,der,der Tee,the tea,le thé,plant-based drinks are usually Masculine,les boissons à base de plantes sont généralement Masculines
162,10,_____ Moment,der,der Moment,the moment,le moment,words finishing in -ment are usually Neuter,les mots se terminant par -ment sont généralement Neutres
163,10,_____ Zement,der,der Zement,the cement,le ciment,words finishing in -ment are usually Neuter,les mots se terminant par -ment sont généralement Neutres
164,10,_____ Klima,das,das Klima,the climate,le climat,weathers are usually Masculine,les temps sont généralement Masculins
165,10,_____ Wolke,die,die Wolke,the cloud,le nuage,weathers are usually Masculine,les temps sont généralement Masculins
166,10,_____ Wetter,das,das Wetter,the weather,la météo,weathers are usually Masculine,les temps sont généralement Masculins
167,10,_____ Mikrowelle,die,die Mikrowelle,the microwave,le micro-ondes,appliances are usually Masculine,les appareils électroménagers sont généralement Masculins
168,10,_____ Spülmaschine,die,die Spülmaschine,the dishwasher,le lave-vaisselle,appliances are usually Masculine,les appareils électroménagers sont généralement Masculins
169,11,_____ Sinn,der,der Sinn,the meaning,la signification,senses are usually Masculine,les sens sont généralement Masculins
170,12,_____ Blick,der,der Blick,the view,la vue,senses are usually Masculine,les sens sont généralement Masculins
171,13,_____ Duft,der,der Duft,the scent,le parfum,senses are usually Masculine,les sens sont généralement Masculins
172,14,_____ Klang,der,der Klang,the sound,le son,senses are usually Masculine,les sens sont généralement Masculins
173,11,_____ Geschmack,der,der Geschmack,the taste,le goût,senses are usually Masculine,les sens sont généralement Masculins
174,12,_____ Norden,der,der Norden,the north,le nord,cardinal directions are Masculine,les points cardinaux sont Masculins
175,13,_____ Süden,der,der Süden,the south,le sud,cardinal directions are Masculine,les points cardinaux sont Masculins
176,14,_____ Osten,der,der Osten,the East,l'Est,cardinal directions are Masculine,les points cardinaux sont Masculins
177,11,_____ Westen,der,der Westen,The West,L'Ouest,cardinal directions are Masculine,les points cardinaux sont Masculins
178,12,_____ König,der,der König,the king,le roi,nouns finishing in -ig are Masculine ,les noms se terminant par -ig sont Masculins
179,13,_____ Honig,der,der Honig,the honey,le miel,nouns finishing in -ig are Masculine ,les noms se terminant par -ig sont Masculins
180,14,_____ Essig,der,der Essig,the vinegar,le vinaigre,nouns finishing in -ig are Masculine ,les noms se terminant par -ig sont Masculins
181,11,_____ Käfig,der,der Käfig,the cage,la cage,nouns finishing in -ig are Masculine ,les noms se terminant par -ig sont Masculins
182,12,_____ Zweig,der,der Zweig,the branch,la branche,nouns finishing in -ig are Masculine ,les noms se terminant par -ig sont Masculins
183,13,_____ Teig,der,der Teig,the dough,la pâte,nouns finishing in -ig are Masculine ,les noms se terminant par -ig sont Masculins
184,14,_____ Mannschaft,die,die Mannschaft,the team,l'équipe,nouns finishing in -schaft are Feminine,les noms se terminant par -schaft sont Féminins
185,11,_____ Freundschaft,die,die Freundschaft,the friendship,l'amitié,nouns finishing in -schaft are Feminine,les noms se terminant par -schaft sont Féminins
186,12,_____ Gesellschaft,die,die Gesellschaft,the society,la société,nouns finishing in -schaft are Feminine,les noms se terminant par -schaft sont Féminins
187,13,_____ Gemeinschaft,die,die Gemeinschaft,the community,la communauté,nouns finishing in -schaft are Feminine,les noms se terminant par -schaft sont Féminins
188,14,_____ Landschaft,die,die Landschaft,the landscape,le paysage,nouns finishing in -schaft are Feminine,les noms se terminant par -schaft sont Féminins
189,11,_____ Bereitschaft,die,die Bereitschaft,the willingness,la volonté,nouns finishing in -schaft are Feminine,les noms se terminant par -schaft sont Féminins
190,12,_____ Leserschaft,die,die Leserschaft,the readership,le lectorat,nouns finishing in -schaft are Feminine,les noms se terminant par -schaft sont Féminins
191,13,_____ Phantasie,die,die Phantasie,the imagination,l'imagination,nouns finishing in -ie are usually Feminine,les noms se terminant par -ie sont généralement Féminins
192,14,_____ Poesie,die,die Poesie,the poetry,la poésie,nouns finishing in -ie are usually Feminine,les noms se terminant par -ie sont généralement Féminins
193,11,_____ Energie,die,die Energie,the energy,l'énergie,nouns finishing in -ie are usually Feminine,les noms se terminant par -ie sont généralement Féminins
194,12,_____ Melodie,die,die Melodie,the melody,la mélodie,nouns finishing in -ie are usually Feminine,les noms se terminant par -ie sont généralement Féminins
195,13,_____ Demokratie,die,die Demokratie,the democracy,la démocratie,nouns finishing in -ie are usually Feminine,les noms se terminant par -ie sont généralement Féminins
196,14,_____ Familie,die,die Familie,the family,la famille,nouns finishing in -ie are usually Feminine,les noms se terminant par -ie sont généralement Féminins
197,11,_____ Industrie,die,die Industrie,the industry,l'industrie,nouns finishing in -ie are usually Feminine,les noms se terminant par -ie sont généralement Féminins
198,12,_____ Musik,die,die Musik,the music,la musique,nouns finishing in -ik are usually Feminine,les noms se terminant par -ik sont généralement Féminins
199,13,_____ Politik,die,die Politik,the politics,la politique,nouns finishing in -ik are usually Feminine,les noms se terminant par -ik sont généralement Féminins
200,14,_____ Kritik,die,die Kritik,the criticism,la critique,nouns finishing in -ik are usually Feminine,les noms se terminant par -ik sont généralement Féminins
201,11,_____ Technik,die,die Technik,the technology,la technologie,nouns finishing in -ik are usually Feminine,les noms se terminant par -ik sont généralement Féminins
202,12,_____ Mathematik,die,die Mathematik,the mathematics,les mathématiques,nouns finishing in -ik are usually Feminine,les noms se terminant par -ik sont généralement Féminins
203,13,_____ Fabrik,die,die Fabrik,the factory,l'usine,nouns finishing in -ik are usually Feminine,les noms se terminant par -ik sont généralement Féminins
204,14,_____ Statistik,die,die Statistik,the statistics,les statistiques,nouns finishing in -ik are usually Feminine,les noms se terminant par -ik sont généralement Féminins
205,11,_____ Qualität,die,die Qualität,the quality,la qualité,nouns finishing in -tät are Feminine,les noms se terminant par -tät sont Féminins
206,12,_____ Universität,die,die Universität,the university,l'université,nouns finishing in -tät are Feminine,les noms se terminant par -tät sont Féminins
207,13,_____ Aktivität,die,die Aktivität,the activity,l'activité,nouns finishing in -tät are Feminine,les noms se terminant par -tät sont Féminins
208,14,_____ Identität,die,die Identität,the identity,l'identité,nouns finishing in -tät are Feminine,les noms se terminant par -tät sont Féminins
209,11,_____ Realität,die,die Realität,the reality,la réalité,nouns finishing in -tät are Feminine,les noms se terminant par -tät sont Féminins
210,12,_____ Autorität,die,die Autorität,the authority,l'autorité,nouns finishing in -tät are Feminine,les noms se terminant par -tät sont Féminins
211,13,_____ Nationalität,die,die Nationalität,the nationality,la nationalité,nouns finishing in -tät are Feminine,les noms se terminant par -tät sont Féminins
212,14,_____ Flexibilität,die,die Flexibilität,the flexibility,la flexibilité,nouns finishing in -tät are Feminine,les noms se terminant par -tät sont Féminins
213,11,_____ Produktivität,die,die Produktivität,the productivity,la productivité,nouns finishing in -tät are Feminine,les noms se terminant par -tät sont Féminins
214,12,_____ Natur,die,die Natur,the nature,la nature,nouns finishing in -ur are Feminine,les noms se terminant par -ur sont Féminins
215,13,_____ Kultur,die,die Kultur,the culture,la culture,nouns finishing in -ur are Feminine,les noms se terminant par -ur sont Féminins
216,14,_____ Temperatur,die,die Temperatur,the temperature,la température,nouns finishing in -ur are Feminine,les noms se terminant par -ur sont Féminins
217,11,_____ Struktur,die,die Struktur,the structure,la structure,nouns finishing in -ur are Feminine,les noms se terminant par -ur sont Féminins
218,12,_____ Figur,die,die Figur,the character,le personnage,nouns finishing in -ur are Feminine,les noms se terminant par -ur sont Féminins
219,13,_____ Bäckerei,die,die Bäckerei,the bakery,la boulangerie,nouns finishing in -ei are Feminine,les noms se terminant par -ei sont Féminins
220,14,_____ Metzgerei,die,die Metzgerei,the butcher shop,la boucherie,nouns finishing in -ei are Feminine,les noms se terminant par -ei sont Féminins
221,11,_____ Polizei,die,die Polizei,the police,la police,nouns finishing in -ei are Feminine,les noms se terminant par -ei sont Féminins
222,12,_____ Partei,die,die Partei,the party,la fête,nouns finishing in -ei are Feminine,les noms se terminant par -ei sont Féminins
223,13,_____ Schreiberei,die,die Schreiberei,the writing,l'écriture,nouns finishing in -ei are Feminine,les noms se terminant par -ei sont Féminins
224,14,_____ Leben,das,das Leben,the life,la vie,verbs as nouns finishing in -en are Neuter,les verbes utilisés comme noms et se terminant par -en sont Neutres
