Nr,exercise,level_verben,question,answer,german,english,french,case_english,case_french,verb,combination,explanation_verb_english,explanation_verb_french,explanation_preposition_english,explanation_preposition_french,explanation_english,explanation_french
17,2,,Ich arbeite _____ Lidl als Verkäufer.,bei,Ich arbeite bei Lidl als Verkäufer.,I work at Lidl as a salesperson.,Je travaille chez Lidl comme vendeur.,,,arbeiten,arbeiten bei,to work at = arbeiten bei + Dative,travailler à = arbeiten bei + Datif,to introduce a person or an institution → bei + Dat.,pour introduire une personne ou une institution → bei + Dat.,to work at = arbeiten bei + Dative<br>to introduce a person or an institution → bei + Dat.,travailler à = arbeiten bei + Datif<br>pour introduire une personne ou une institution → bei + Dat.
18,2,,Meine Schwester arbeitet _____ BMW in der Entwicklungsabteilung.,bei,Meine Schwester arbeitet bei BMW in der Entwicklungsabteilung.,My sister works at BMW in the development department.,"Ma sœur travaille chez BMW, au département développement.",,,arbeiten,arbeiten bei,to work at = arbeiten bei + Dative,travailler à = arbeiten bei + Datif,to introduce a person or an institution → bei + Dat.,pour introduire une personne ou une institution → bei + Dat.,to work at = arbeiten bei + Dative<br>to introduce a person or an institution → bei + Dat.,travailler à = arbeiten bei + Datif<br>pour introduire une personne ou une institution → bei + Dat.
19,2,,Sie arbeitet _____ einem neuen Projekt.,an,Sie arbeitet an einem neuen Projekt.,She is working on a new project.,Elle travaille sur un nouveau projet.,,,arbeiten,arbeiten an,to work on = arbeiten an + Dative,travailler sur = arbeiten an + Datif,to introduce an ongoing activity → an,pour introduire une activité en cours → an,to work on = arbeiten an + Dative<br>to introduce an ongoing activity → an,travailler sur = arbeiten an + Datif<br>pour introduire une activité en cours → an
20,2,,Ich arbeite _____ meinem Deutsch.,an,Ich arbeite an meinem Deutsch.,I am working on my German.,Je travaille mon allemand.,,,arbeiten,arbeiten an,to work on = arbeiten an + Dative,travailler sur = arbeiten an + Datif,to introduce an ongoing activity → an,pour introduire une activité en cours → an,to work on = arbeiten an + Dative<br>to introduce an ongoing activity → an,travailler sur = arbeiten an + Datif<br>pour introduire une activité en cours → an
21,2,,Er arbeitet an der Universität _____ seiner Doktorarbeit.,an,Er arbeitet an der Universität an seiner Doktorarbeit.,He is working on his doctoral thesis at the university.,Il travaille actuellement sur sa thèse de doctorat à l'université.,,,arbeiten,arbeiten an,to work on = arbeiten an + Dative,travailler sur = arbeiten an + Datif,to introduce an ongoing activity → an,pour introduire une activité en cours → an,to work on = arbeiten an + Dative<br>to introduce an ongoing activity → an,travailler sur = arbeiten an + Datif<br>pour introduire une activité en cours → an
22,2,,Ich denke _____ meine Mutter.,an,Ich denke an meine Mutter.,I think about my mother.,Je pense à ma mère.,,,denken,denken an,to think of = denken an + Accusative,penser à = denken an + Accusatif,"to introduce the subject of a thought, with mental focus → an","pour introduire le sujet d'une pensée, avec un effort mentale → an","to think of = denken an + Accusative<br>to introduce the subject of a thought, with mental focus → an","penser à = denken an + Accusatif<br>pour introduire le sujet d'une pensée, avec un effort mentale → an"
23,2,,Er denkt oft _____ seinen Urlaub.,an,Er denkt oft an seinen Urlaub.,He often thinks about his vacation.,Il pense souvent à ses vacances.,,,denken,denken an,to think of = denken an + Accusative,penser à = denken an + Accusatif,"to introduce the subject of a thought, with mental focus → an","pour introduire le sujet d'une pensée, avec un effort mentale → an","to think of = denken an + Accusative<br>to introduce the subject of a thought, with mental focus → an","penser à = denken an + Accusatif<br>pour introduire le sujet d'une pensée, avec un effort mentale → an"
24,2,,Wir müssen _____ die Zukunft denken.,an,Wir müssen an die Zukunft denken.,We have to think about the future.,Nous devons penser à l'avenir.,,,denken,denken an,to think of = denken an + Accusative,penser à = denken an + Accusatif,"to introduce the subject of a thought, with mental focus → an","pour introduire le sujet d'une pensée, avec un effort mentale → an","to think of = denken an + Accusative<br>to introduce the subject of a thought, with mental focus → an","penser à = denken an + Accusatif<br>pour introduire le sujet d'une pensée, avec un effort mentale → an"
25,2,,Sie glaubt _____ Gott.,an,Sie glaubt an Gott.,She believes in God.,Elle croit en Dieu.,,,glauben,glauben an,to believe in = glauben an + Accusative,croire en = glauben an + Accusatif,"to introduce the subject of a thought, with mental focus → an","pour introduire le sujet d'une pensée, avec un effort mentale → an","to believe in = glauben an + Accusative<br>to introduce the subject of a thought, with mental focus → an","croire en = glauben an + Accusatif<br>pour introduire le sujet d'une pensée, avec un effort mentale → an"
26,2,,Ich glaube _____ meine Freunde.,an,Ich glaube an meine Freunde.,I believe in my friends.,Je crois en mes amis.,,,glauben,glauben an,to believe in = glauben an + Accusative,croire en = glauben an + Accusatif,"to introduce the subject of a thought, with mental focus → an","pour introduire le sujet d'une pensée, avec un effort mentale → an","to believe in = glauben an + Accusative<br>to introduce the subject of a thought, with mental focus → an","croire en = glauben an + Accusatif<br>pour introduire le sujet d'une pensée, avec un effort mentale → an"
27,2,,Viele Menschen glauben _____ das Gute im Menschen.,an,Viele Menschen glauben an das Gute im Menschen.,Many people believe in the good in people.,Beaucoup de gens croient en la bonté des gens.,,,glauben,glauben an,to believe in = glauben an + Accusative,croire en = glauben an + Accusatif,"to introduce the subject of a thought, with mental focus → an","pour introduire le sujet d'une pensée, avec un effort mentale → an","to believe in = glauben an + Accusative<br>to introduce the subject of a thought, with mental focus → an","croire en = glauben an + Accusatif<br>pour introduire le sujet d'une pensée, avec un effort mentale → an"
28,2,,Wir hoffen _____ gutes Wetter.,auf,Wir hoffen auf gutes Wetter.,We hope for good weather.,Nous espérons du beau temps.,,,hoffen,hoffen auf,to hope for = hoffen auf + Accusative,espérer = hoffen auf + Accusatif,to introduce something in the future → auf + Acc.,pour introduire quelque chose dans le future → auf + Acc.,to hope for = hoffen auf + Accusative<br>to introduce something in the future → auf + Acc.,espérer = hoffen auf + Accusatif<br>pour introduire quelque chose dans le future → auf + Acc.
29,2,,Ich hoffe _____ eine gute Note.,auf,Ich hoffe auf eine gute Note.,I hope for a good grade.,J'espère avoir une bonne note.,,,hoffen,hoffen auf,to hope for = hoffen auf + Accusative,espérer = hoffen auf + Accusatif,to introduce something in the future → auf + Acc.,pour introduire quelque chose dans le future → auf + Acc.,to hope for = hoffen auf + Accusative<br>to introduce something in the future → auf + Acc.,espérer = hoffen auf + Accusatif<br>pour introduire quelque chose dans le future → auf + Acc.
30,2,,Sie hofft _____ eine schnelle Antwort.,auf,Sie hofft auf eine schnelle Antwort.,She hopes for a quick answer.,Elle espère une réponse rapide.,,,hoffen,hoffen auf,to hope for = hoffen auf + Accusative,espérer = hoffen auf + Accusatif,to introduce something in the future → auf + Acc.,pour introduire quelque chose dans le future → auf + Acc.,to hope for = hoffen auf + Accusative<br>to introduce something in the future → auf + Acc.,espérer = hoffen auf + Accusatif<br>pour introduire quelque chose dans le future → auf + Acc.
31,2,,Ich interessiere mich _____ Geschichte.,für,Ich interessiere mich für Geschichte.,I am interested in history.,Je m'intéresse à l'histoire.,,,interessieren,sich interessieren für,to be interested in = sich interessieren für + Accusative,s'intéresser à = sich interessieren für + Accusatif,"to introduce a purpose, a goal or a beneficiary → für + Acc.","pour introduire un objectif, un but ou un bénéficiaire → für + Acc.","to be interested in = sich interessieren für + Accusative<br>to introduce a purpose, a goal or a beneficiary → für + Acc.","s'intéresser à = sich interessieren für + Accusatif<br>pour introduire un objectif, un but ou un bénéficiaire → für + Acc."
32,2,,Er interessiert sich _____ Musik.,für,Er interessiert sich für Musik.,He is interested in music.,Il s'intéresse à la musique.,,,interessieren,sich interessieren für,to be interested in = sich interessieren für + Accusative,s'intéresser à = sich interessieren für + Accusatif,"to introduce a purpose, a goal or a beneficiary → für + Acc.","pour introduire un objectif, un but ou un bénéficiaire → für + Acc.","to be interested in = sich interessieren für + Accusative<br>to introduce a purpose, a goal or a beneficiary → für + Acc.","s'intéresser à = sich interessieren für + Accusatif<br>pour introduire un objectif, un but ou un bénéficiaire → für + Acc."
33,2,,Wir interessieren uns _____ Kunst und Architektur.,für,Wir interessieren uns für Kunst und Architektur.,We are interested in art and architecture.,Nous nous intéressons à l'art et à l'architecture.,,,interessieren,sich interessieren für,to be interested in = sich interessieren für + Accusative,s'intéresser à = sich interessieren für + Accusatif,"to introduce a purpose, a goal or a beneficiary → für + Acc.","pour introduire un objectif, un but ou un bénéficiaire → für + Acc.","to be interested in = sich interessieren für + Accusative<br>to introduce a purpose, a goal or a beneficiary → für + Acc.","s'intéresser à = sich interessieren für + Accusatif<br>pour introduire un objectif, un but ou un bénéficiaire → für + Acc."
34,2,,Ich komme _____ Deutschland.,aus,Ich komme aus Deutschland.,I come from Germany.,Je viens d'Allemagne.,,,kommen,kommen aus,to come from = kommen aus + Dative,venir de = kommen aus + Datif,to introduce an origin or a constituent → aus + Dat.,pour introduire une origine ou un composant → aus + Dat.,to come from = kommen aus + Dative<br>to introduce an origin or a constituent → aus + Dat.,venir de = kommen aus + Datif<br>pour introduire une origine ou un composant → aus + Dat.
35,2,,Sie kommt _____ Italien.,aus,Sie kommt aus Italien.,She comes from Italy.,Elle vient d'Italie.,,,kommen,kommen aus,to come from = kommen aus + Dative,venir de = kommen aus + Datif,to introduce an origin or a constituent → aus + Dat.,pour introduire une origine ou un composant → aus + Dat.,to come from = kommen aus + Dative<br>to introduce an origin or a constituent → aus + Dat.,venir de = kommen aus + Datif<br>pour introduire une origine ou un composant → aus + Dat.
36,2,,Mein bester Freund kommt _____ der Schweiz.,aus,Mein bester Freund kommt aus der Schweiz.,My best friend is from Switzerland.,Mon meilleur ami est suisse.,,,kommen,kommen aus,to come from = kommen aus + Dative,venir de = kommen aus + Datif,to introduce an origin or a constituent → aus + Dat.,pour introduire une origine ou un composant → aus + Dat.,to come from = kommen aus + Dative<br>to introduce an origin or a constituent → aus + Dat.,venir de = kommen aus + Datif<br>pour introduire une origine ou un composant → aus + Dat.
37,2,,Ich schreibe _____ meine Familie.,über,Ich schreibe über meine Familie.,I write about my family.,J'écris sur ma famille.,,,schreiben,schreiben über,to write about = schreiben über + Accusative,écrire sur = schreiben über + Accusatif,to introduce a general subject → über + Acc.,pour introduire un sujet général → über + Acc.,to write about = schreiben über + Accusative<br>to introduce a general subject → über + Acc.,écrire sur = schreiben über + Accusatif<br>pour introduire un sujet général → über + Acc.
38,2,,Er schreibt _____ seine Reise.,über,Er schreibt über seine Reise.,He writes about his trip.,Il écrit sur son voyage.,,,schreiben,schreiben über,to write about = schreiben über + Accusative,écrire sur = schreiben über + Accusatif,to introduce a general subject → über + Acc.,pour introduire un sujet général → über + Acc.,to write about = schreiben über + Accusative<br>to introduce a general subject → über + Acc.,écrire sur = schreiben über + Accusatif<br>pour introduire un sujet général → über + Acc.
39,2,,Wir schreiben einen Aufsatz _____ Umweltschutz.,über,Wir schreiben einen Aufsatz über Umweltschutz.,We are writing an essay on environmental protection.,Nous rédigeons un essai sur la protection de l'environnement.,,,schreiben,schreiben über,to write about = schreiben über + Accusative,écrire sur = schreiben über + Accusatif,to introduce a general subject → über + Acc.,pour introduire un sujet général → über + Acc.,to write about = schreiben über + Accusative<br>to introduce a general subject → über + Acc.,écrire sur = schreiben über + Accusatif<br>pour introduire un sujet général → über + Acc.
40,2,,Ich schreibe einen Brief _____ meine Oma.,an,Ich schreibe einen Brief an meine Oma.,I write a letter to my grandma.,J'écris une lettre à ma grand-mère.,,,schreiben,schreiben an,to write to = schreiben an + Accusative,écrire à = schreiben an + Accusatif,to introduce an addressee → an + Acc.,pour introduire un destinataire → an + Acc.,to write to = schreiben an + Accusative<br>to introduce an addressee → an + Acc.,écrire à = schreiben an + Accusatif<br>pour introduire un destinataire → an + Acc.
41,2,,Sie schreibt eine E-Mail _____ ihren Freund.,an,Sie schreibt eine E-Mail an ihren Freund.,She writes an email to her boyfriend.,Elle écrit un courriel à son petit ami.,,,schreiben,schreiben an,to write to = schreiben an + Accusative,écrire à = schreiben an + Accusatif,to introduce an addressee → an + Acc.,pour introduire un destinataire → an + Acc.,to write to = schreiben an + Accusative<br>to introduce an addressee → an + Acc.,écrire à = schreiben an + Accusatif<br>pour introduire un destinataire → an + Acc.
42,2,,Er schreibt gerade eine Bewerbung _____ eine Firma.,an,Er schreibt gerade eine Bewerbung an eine Firma.,He is writing an application to a company.,Il rédige une candidature pour une entreprise.,,,schreiben,schreiben an,to write to = schreiben an + Accusative,écrire à = schreiben an + Accusatif,to introduce an addressee → an + Acc.,pour introduire un destinataire → an + Acc.,to write to = schreiben an + Accusative<br>to introduce an addressee → an + Acc.,écrire à = schreiben an + Accusatif<br>pour introduire un destinataire → an + Acc.
43,2,,Ich bin _____ die Idee.,gegen,Ich bin gegen die Idee.,I am against the idea.,Je suis contre cette idée.,,,sein,sein gegen,to be against = sein gegen + Accusative,être contre = sein gegen + Accusatif,to introduce a rejection or an opposition → gegen + Acc.,pour introduire un rejet ou une opposition → gegen + Acc.,to be against = sein gegen + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,être contre = sein gegen + Accusatif<br>pour introduire un rejet ou une opposition → gegen + Acc.
44,2,,Er ist _____ das neue Gesetz.,gegen,Er ist gegen das neue Gesetz.,He is against the new law.,Il est contre la nouvelle loi.,,,sein,sein gegen,to be against = sein gegen + Accusative,être contre = sein gegen + Accusatif,to introduce a rejection or an opposition → gegen + Acc.,pour introduire un rejet ou une opposition → gegen + Acc.,to be against = sein gegen + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,être contre = sein gegen + Accusatif<br>pour introduire un rejet ou une opposition → gegen + Acc.
45,2,,Wir sind _____ eine Erhöhung der Miete.,gegen,Wir sind gegen eine Erhöhung der Miete.,We are against increasing the rent.,Nous sommes contre l'augmentation du loyer.,,,sein,sein gegen,to be against = sein gegen + Accusative,être contre = sein gegen + Accusatif,to introduce a rejection or an opposition → gegen + Acc.,pour introduire un rejet ou une opposition → gegen + Acc.,to be against = sein gegen + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,être contre = sein gegen + Accusatif<br>pour introduire un rejet ou une opposition → gegen + Acc.
46,2,,Ich bin _____ das neue Projekt.,für,Ich bin für das neue Projekt.,I am for the new project.,Je suis favorable au nouveau projet.,,,sein,sein für,to be for = sein für + Accusative,être pour = sein für + Accusatif,"to introduce an endorsement, an approval or an advocacy → für + Acc.","pour introduire une approbation, un accord ou un plaidoyer → für + Acc.","to be for = sein für + Accusative<br>to introduce an endorsement, an approval or an advocacy → für + Acc.","être pour = sein für + Accusatif<br>pour introduire une approbation, un accord ou un plaidoyer → für + Acc."
47,2,,Sie ist _____ eine längere Pause.,für,Sie ist für eine längere Pause.,She is for a longer break.,Elle souhaite une pause plus longue.,,,sein,sein für,to be for = sein für + Accusative,être pour = sein für + Accusatif,"to introduce an endorsement, an approval or an advocacy → für + Acc.","pour introduire une approbation, un accord ou un plaidoyer → für + Acc.","to be for = sein für + Accusative<br>to introduce an endorsement, an approval or an advocacy → für + Acc.","être pour = sein für + Accusatif<br>pour introduire une approbation, un accord ou un plaidoyer → für + Acc."
48,2,,Wir sind _____ mehr Umweltschutz in der Stadt.,für,Wir sind für mehr Umweltschutz in der Stadt.,We are in favor of more environmental protection in the city.,Nous sommes favorables à une meilleure protection de l'environnement dans la ville.,,,sein,sein für,to be for = sein für + Accusative,être pour = sein für + Accusatif,"to introduce an endorsement, an approval or an advocacy → für + Acc.","pour introduire une approbation, un accord ou un plaidoyer → für + Acc.","to be for = sein für + Accusative<br>to introduce an endorsement, an approval or an advocacy → für + Acc.","être pour = sein für + Accusatif<br>pour introduire une approbation, un accord ou un plaidoyer → für + Acc."
49,2,,Das Kind spielt _____ dem Ball.,mit,Das Kind spielt mit dem Ball.,The child plays with the ball.,L'enfant joue avec le ballon.,,,spielen,spielen mit,to play with = spielen mit + Dative,jouer avec = spielen mit + Datif,to introduce a partner → mit + Dat.,pour introduire un partenaire → mit + Dat.,to play with = spielen mit + Dative<br>to introduce a partner → mit + Dat.,jouer avec = spielen mit + Datif<br>pour introduire un partenaire → mit + Dat.
50,2,,Ich spiele _____ meinem Hund.,mit,Ich spiele mit meinem Hund.,I play with my dog.,Je joue avec mon chien.,,,spielen,spielen mit,to play with = spielen mit + Dative,jouer avec = spielen mit + Datif,to introduce a partner → mit + Dat.,pour introduire un partenaire → mit + Dat.,to play with = spielen mit + Dative<br>to introduce a partner → mit + Dat.,jouer avec = spielen mit + Datif<br>pour introduire un partenaire → mit + Dat.
51,2,,Sie spielt gerne _____ ihren kleinen Geschwistern.,mit,Sie spielt gerne mit ihren kleinen Geschwistern.,She loves playing with her little brothers and sisters.,Elle adore jouer avec ses petits frères et sœurs.,,,spielen,spielen mit,to play with = spielen mit + Dative,jouer avec = spielen mit + Datif,to introduce a partner → mit + Dat.,pour introduire un partenaire → mit + Dat.,to play with = spielen mit + Dative<br>to introduce a partner → mit + Dat.,jouer avec = spielen mit + Datif<br>pour introduire un partenaire → mit + Dat.
52,2,,Ich treffe mich _____ meiner Freundin.,mit,Ich treffe mich mit meiner Freundin.,I meet with my girlfriend.,Je retrouve ma copine.,,,treffen,sich treffen mit,to meet with = sich treffen mit + Dative,"rencontrer, retrouver quelqu'un = sich treffen mit + Datif",to introduce a partner → mit + Dat.,pour introduire un partenaire → mit + Dat.,to meet with = sich treffen mit + Dative<br>to introduce a partner → mit + Dat.,"rencontrer, retrouver quelqu'un = sich treffen mit + Datif<br>pour introduire un partenaire → mit + Dat."
53,2,,Er trifft sich _____ seinen Kollegen.,mit,Er trifft sich mit seinen Kollegen.,He meets with his colleagues.,Il rencontre ses collègues.,,,treffen,sich treffen mit,to meet with = sich treffen mit + Dative,"rencontrer, retrouver quelqu'un = sich treffen mit + Datif",to introduce a partner → mit + Dat.,pour introduire un partenaire → mit + Dat.,to meet with = sich treffen mit + Dative<br>to introduce a partner → mit + Dat.,"rencontrer, retrouver quelqu'un = sich treffen mit + Datif<br>pour introduire un partenaire → mit + Dat."
54,2,,Wir treffen uns heute Abend _____ ein paar Freunden.,mit,Wir treffen uns heute Abend mit ein paar Freunden.,We're meeting up with some friends tonight.,Nous retrouvons des amis ce soir.,,,treffen,sich treffen mit,to meet with = sich treffen mit + Dative,"rencontrer, retrouver quelqu'un = sich treffen mit + Datif",to introduce a partner → mit + Dat.,pour introduire un partenaire → mit + Dat.,to meet with = sich treffen mit + Dative<br>to introduce a partner → mit + Dat.,"rencontrer, retrouver quelqu'un = sich treffen mit + Datif<br>pour introduire un partenaire → mit + Dat."
55,2,,Ich warte _____ den Bus.,auf,Ich warte auf den Bus.,I am waiting for the bus.,J'attends le bus.,,,warten,warten auf,to wait for = warten auf + Accusative,attendre = warten auf + Accusatif,to introduce something in the future → auf + Acc.,pour introduire quelque chose dans le future → auf + Acc.,to wait for = warten auf + Accusative<br>to introduce something in the future → auf + Acc.,attendre = warten auf + Accusatif<br>pour introduire quelque chose dans le future → auf + Acc.
56,2,,Sie wartet _____ ihre Freundin.,auf,Sie wartet auf ihre Freundin.,She is waiting for her friend.,Elle attend son amie.,,,warten,warten auf,to wait for = warten auf + Accusative,attendre = warten auf + Accusatif,to introduce something in the future → auf + Acc.,pour introduire quelque chose dans le future → auf + Acc.,to wait for = warten auf + Accusative<br>to introduce something in the future → auf + Acc.,attendre = warten auf + Accusatif<br>pour introduire quelque chose dans le future → auf + Acc.
57,2,,Wir warten _____ die Ergebnisse der Prüfung.,auf,Wir warten auf die Ergebnisse der Prüfung.,We are waiting for the results of the audit.,Nous attendons les résultats de l'audit.,,,warten,warten auf,to wait for = warten auf + Accusative,attendre = warten auf + Accusatif,to introduce something in the future → auf + Acc.,pour introduire quelque chose dans le future → auf + Acc.,to wait for = warten auf + Accusative<br>to introduce something in the future → auf + Acc.,attendre = warten auf + Accusatif<br>pour introduire quelque chose dans le future → auf + Acc.
58,2,,Er arbeitet _____ Lehrer.,als,Er arbeitet als Lehrer.,He works as a teacher.,Il travaille comme enseignant.,,,arbeiten,arbeiten als,"to work as, to operate as = arbeiten als","travailler comme, fonctionner comme = arbeiten als",to introduce an identity → als,pour introduire une identité → als,"to work as, to operate as = arbeiten als<br>to introduce an identity → als","travailler comme, fonctionner comme = arbeiten als<br>pour introduire une identité → als"
59,2,,Ich arbeite _____ Kellnerin.,als,Ich arbeite als Kellnerin.,I work as a waitress.,Je travaille comme serveuse.,,,arbeiten,arbeiten als,"to work as, to operate as = arbeiten als","travailler comme, fonctionner comme = arbeiten als",to introduce an identity → als,pour introduire une identité → als,"to work as, to operate as = arbeiten als<br>to introduce an identity → als","travailler comme, fonctionner comme = arbeiten als<br>pour introduire une identité → als"
60,2,,Meine Schwester arbeitet _____ Ärztin im Krankenhaus.,als,Meine Schwester arbeitet als Ärztin im Krankenhaus.,My sister works as a doctor in a hospital.,Ma sœur travaille comme médecin dans un hôpital.,,,arbeiten,arbeiten als,"to work as, to operate as = arbeiten als","travailler comme, fonctionner comme = arbeiten als",to introduce an identity → als,pour introduire une identité → als,"to work as, to operate as = arbeiten als<br>to introduce an identity → als","travailler comme, fonctionner comme = arbeiten als<br>pour introduire une identité → als"
