Nr,level,level_verben,question,answer,case,german,english,complement
47,2,,Sie kommt _____ Italien.,aus,,Sie kommt aus Italien.,She comes from Italy.,kommen
48,2,,Er kommt zu spät _____ der Schule.,zu,,Er kommt zu spät zu der Schule.,He comes late to school.,kommen
49,2,,Ich komme _____ deiner Party.,zu,,Ich komme zu deiner Party.,I come to your party.,kommen
50,2,,Ich schreibe _____ meine Familie.,über,,Ich schreibe über meine Familie.,I write about my family.,schreiben
51,2,,Er schreibt _____ seine Reise.,über,,Er schreibt über seine Reise.,He writes about his trip.,schreiben
52,2,,Ich schreibe einen Brief _____ meine Oma.,an,,Ich schreibe einen Brief an meine Oma.,I write a letter to my grandma.,schreiben
53,2,,Sie schreibt eine E-Mail _____ ihren Freund.,an,,Sie schreibt eine E-Mail an ihren Freund.,She writes an email to her boyfriend.,schreiben
54,2,,Ich bin _____ die Idee.,gegen,,Ich bin gegen die Idee.,I am against the idea.,sein
55,2,,Er ist _____ das neue Gesetz.,gegen,,Er ist gegen das neue Gesetz.,He is against the new law.,sein
56,2,,Ich bin _____ das neue Projekt.,für,,Ich bin für das neue Projekt.,I am for the new project.,sein
57,2,,Sie ist _____ eine längere Pause.,für,,Sie ist für eine längere Pause.,She is for a longer break.,sein
58,2,,Das Kind spielt _____ dem Ball.,mit,,Das Kind spielt mit dem Ball.,The child plays with the ball.,spielen
59,2,,Ich spiele _____ meinem Hund.,mit,,Ich spiele mit meinem Hund.,I play with my dog.,spielen
60,2,,Ich spreche _____ meinem Vater.,mit,,Ich spreche mit meinem Vater.,I talk with my father.,sprechen
61,2,,Sie spricht _____ ihrer Lehrerin.,mit,,Sie spricht mit ihrer Lehrerin.,She talks with her teacher.,sprechen
62,2,,Ich suche _____ meinem Handy.,nach,,Ich suche nach meinem Handy.,I am looking for my phone.,suchen
63,2,,Sie sucht _____ einem neuen Job.,nach,,Sie sucht nach einem neuen Job.,She is looking for a new job.,suchen
64,2,,Wir treffen uns _____ einem Kaffee.,zu,,Wir treffen uns zu einem Kaffee.,We meet for a coffee.,treffen
65,2,,Sie treffen sich _____ einer Besprechung.,zu,,Sie treffen sich zu einer Besprechung.,They meet for a meeting.,treffen
66,2,,Ich treffe mich _____ meiner Freundin.,mit,,Ich treffe mich mit meiner Freundin.,I meet with my girlfriend.,treffen
67,2,,Er trifft sich _____ seinen Kollegen.,mit,,Er trifft sich mit seinen Kollegen.,He meets with his colleagues.,treffen
68,2,,Ich übersetze den Text _____ dem Englischen.,aus,,Ich übersetze den Text aus dem Englischen.,I translate the text from English.,übersetzen
69,2,,Sie übersetzt das Buch _____ dem Französischen.,aus,,Sie übersetzt das Buch aus dem Französischen.,She translates the book from French.,übersetzen
70,2,,Ich übersetze den Brief _____ Deutsche.,in,,Ich übersetze den Brief ins Deutsche.,I translate the letter into German.,übersetzen
71,2,,Er übersetzt das Dokument _____ seine Sprache.,in,,Er übersetzt das Dokument in seine Sprache.,He translates the document into his language.,übersetzen
72,2,,Ich warte _____ den Bus.,auf,,Ich warte auf den Bus.,I am waiting for the bus.,warten
73,2,,Sie wartet _____ ihre Freundin.,auf,,Sie wartet auf ihre Freundin.,She is waiting for her friend.,warten
74,2,,Er ändert etwas _____ seinem Plan.,an,,Er ändert etwas an seinem Plan.,He changes something about his plan.,ändern
75,2,,Wir müssen etwas _____ der Situation ändern.,an,,Wir müssen etwas an der Situation ändern.,We have to change something about the situation.,ändern
76,3,1 - 3,to start with,mit,D,anfangen,,
77,3,1 - 3,to stop with,mit,D,aufhören,,
78,3,1 - 3,to begin with,mit,D,beginnen,,
79,3,1 - 3,to thank for,für,A,danken,,
80,3,1 - 3,to invite to,zu,D,einladen,,
81,3,1 - 3,to recall / remember,an,A,erinnern,,
82,3,1 - 3,to tell about,über,A,erzählen,,
83,3,1 - 3,to tell of / about,von,D,erzählen,,
84,3,1 - 3,to look forward to,auf,A,freuen,,
85,3,1 - 3,to rejoice about,über,A,freuen,,
86,3,1 - 3,to lead to,zu,D,führen,,
87,3,1 - 3,to belong to,zu,D,gehören,,
88,3,1 - 3,to laugh about,über,A,lachen,,
89,3,1 - 3,"to match with, to pair with",zu,D,passen,,
90,3,1 - 3,to talk about something,über,A,reden,,
91,3,1 - 3,to talk of something,von,D,reden,,
92,3,1 - 3,to talk about,über,A,sprechen,,
93,3,1 - 3,to speak of,von,D,sprechen,,
94,3,1 - 3,to dream of,von,D,träumen,,
95,3,1 - 3,to know of,von,D,wissen,,
96,3,1 - 3,to know about,über,A,wissen,,
97,3,1 - 3,to hear of,von,D,hören,,
98,3,1 - 3,to regard as,als,A,ansehen,,
99,3,1 - 3,"to come up with, to think of",auf,A,kommen,,
100,3,1 - 3,"to change into, turn into",zu,D,werden,,
101,4,,Sie fängt _____ dem Lernen an.,mit,,Sie fängt mit dem Lernen an.,She starts learning.,anfangen
102,4,,Ich fange _____ der Arbeit um 9 Uhr an.,mit,,Ich fange mit der Arbeit um 9 Uhr an.,I start work at 9 o'clock.,anfangen
103,4,,Wir hören _____ dem Rauchen auf.,mit,,Wir hören mit dem Rauchen auf.,We stop smoking.,aufhören
104,4,,Sie hört _____ der Arbeit um 18 Uhr auf.,mit,,Sie hört mit der Arbeit um 18 Uhr auf.,She stops working at 6 PM.,aufhören
105,4,,Ich beginne _____ dem neuen Projekt.,mit,,Ich beginne mit dem neuen Projekt.,I start with the new project.,beginnen
106,4,,Er beginnt _____ dem Studium.,mit,,Er beginnt mit dem Studium.,He starts studying.,beginnen
107,4,,Ich danke dir _____ deine Hilfe.,für,,Ich danke dir für deine Hilfe.,I thank you for your help.,danken
108,4,,Wir danken unseren Eltern _____ alles.,für,,Wir danken unseren Eltern für alles.,We thank our parents for everything.,danken
109,4,,Ich lade dich _____ meiner Party ein.,zu,,Ich lade dich zu meiner Party ein.,I invite you to my party.,einladen
110,4,,Er lädt uns _____ seinem Geburtstag ein.,zu,,Er lädt uns zu seinem Geburtstag ein.,He invites us to his birthday.,einladen
111,4,,Ich erinnere mich _____ meine Kindheit.,an,,Ich erinnere mich an meine Kindheit.,I remember my childhood.,erinnern
112,4,,Sie erinnert sich _____ den Urlaub.,an,,Sie erinnert sich an den Urlaub.,She remembers the vacation.,erinnern
113,4,,Sie hat _____ ihre Reise nach Afrika erzählt.,über,A,Sie hat über ihre Reise nach Afrika erzählt.,She talked about her trip to Africa.,erzählen
114,4,,Er erzählt _____ die Geschichte seiner Familie.,über,A,Er erzählt über die Geschichte seiner Familie.,He talks about the history of his family.,erzählen
115,4,,Sie hat _____ ihrer Kindheit erzählt.,von,,Sie hat von ihrer Kindheit erzählt.,She told about her childhood.,erzählen
116,4,,"Er erzählte _____ einem interessanten Buch, das er gelesen hat.",von,,"Er erzählte von einem interessanten Buch, das er gelesen hat.",He told about an interesting book he read.,erzählen
117,4,,Ich freue mich _____ den Sommer.,auf,,Ich freue mich auf den Sommer.,I am looking forward to summer.,freuen
118,4,,Er freut sich _____ den Besuch.,auf,,Er freut sich auf den Besuch.,He is looking forward to the visit.,freuen
119,4,,Ich freue mich _____ dein Geschenk.,über,,Ich freue mich über dein Geschenk.,I am happy about your gift.,freuen
120,4,,Sie freut sich _____ die gute Nachricht.,über,,Sie freut sich über die gute Nachricht.,She is happy about the good news.,freuen
121,4,,Diese Regel führt _____ Problemen.,zu,,Diese Regel führt zu Problemen.,This rule leads to problems.,führen
122,4,,Sein Verhalten führt _____ Missverständnissen.,zu,,Sein Verhalten führt zu Missverständnissen.,His behavior leads to misunderstandings.,führen
123,4,,Dieses Buch gehört _____ meiner Sammlung.,zu,,Dieses Buch gehört zu meiner Sammlung.,This book belongs to my collection.,gehören
124,4,,Er gehört _____ den besten Spielern.,zu,,Er gehört zu den besten Spielern.,He belongs to the best players.,gehören
125,4,,Ich habe noch nichts _____ ihm gehört.,von,,Ich habe noch nichts von ihm gehört.,I haven't heard from him yet.,hören
126,4,,Hast du etwas _____ dem Unfall gehört?,von,,Hast du etwas von dem Unfall gehört?,Have you heard about the accident?,hören
127,4,,Wir lachen _____ den Witz.,über,,Wir lachen über den Witz.,We laugh about the joke.,lachen
128,4,,Sie lacht _____ seine Geschichte.,über,,Sie lacht über seine Geschichte.,She laughs about his story.,lachen
129,4,,Dieses Kleid passt _____ deinen Schuhen.,zu,,Dieses Kleid passt zu deinen Schuhen.,This dress matches your shoes.,passen
130,4,,Sein Verhalten passt nicht _____ seinem Alter.,zu,,Sein Verhalten passt nicht zu seinem Alter.,His behavior doesn’t match his age.,passen
131,4,,Sie hat _____ ihre Karriere als Sängerin geredet.,über,,Sie hat über ihre Karriere als Sängerin geredet.,She talked about her career as a singer.,reden
132,4,,"Wir reden oft _____ Politik, wenn wir uns treffen.",über,,"Wir reden oft über Politik, wenn wir uns treffen.",We often talk about politics when we meet.,reden
133,4,,"Sie reden immer _____ ihren Nachbarn, wenn wir sie besuchen.",von,,"Sie reden immer von ihren Nachbarn, wenn wir sie besuchen.",They always talk about their neighbors when we visit.,reden
134,4,,"Er redet _____ seiner Kindheit, aber nur selten.",von,,"Er redet von seiner Kindheit, aber nur selten.","He talks about his childhood, but only rarely.",reden
135,4,,Wir haben lange _____ den Klimawandel gesprochen.,über,,Wir haben lange über den Klimawandel gesprochen.,We had a long discussion about climate change.,sprechen
136,4,,Der Professor hat ausführlich _____ die Geschichte des antiken Roms gesprochen.,über,,Der Professor hat ausführlich über die Geschichte des antiken Roms gesprochen.,The professor talked extensively about the history of ancient Rome.,sprechen
137,4,,Er hat _____ seinem neuen Job gesprochen.,von,,Er hat von seinem neuen Job gesprochen.,He briefly spoke about his new job.,sprechen
138,4,,Er hat nur kurz _____ der Party gesprochen.,von,,Er hat nur kurz von der Party gesprochen.,"He mentioned the party in passing, but didn’t go into detail.",sprechen
139,4,,Ich träume _____ einem schönen Urlaub.,von,,Ich träume von einem schönen Urlaub.,I dream of a nice vacation.,träumen
140,4,,Er träumt _____ einem besseren Leben.,von,,Er träumt von einem besseren Leben.,He dreams of a better life.,träumen
141,4,,Was weißt du _____ die neue Kollegin?,über,,Was weißt du über die neue Kollegin?,What do you know about the new colleague?,wissen
142,4,,Ich weiß viel _____ die Kultur Japans.,über,,Ich weiß viel über die Kultur Japans.,I know a lot about Japanese culture.,wissen
143,4,,Weißt du _____ dem neuen Projekt?,von,,Weißt du von dem neuen Projekt?,Do you know about the new project?,wissen
144,4,,Er weiß nichts _____ der Überraschung.,von,,Er weiß nichts von der Überraschung.,He doesn’t know anything about the surprise.,wissen
145,4,,Er sieht sie _____ seine beste Freundin an.,als,,Er sieht sie als seine beste Freundin an.,He considers her his best friend.,ansehen
146,4,,Viele Menschen sehen Künstliche Intelligenz _____ eine große Chance an.,als,,Viele Menschen sehen Künstliche Intelligenz als eine große Chance an.,Many people consider artificial intelligence a great opportunity.,ansehen
147,4,,Wie bist du _____ diese Idee gekommen?,auf,,Wie bist du auf diese Idee gekommen?,How did you come up with this idea?,kommen
148,4,,Ich bin _____ eine interessante Lösung gekommen.,auf,,Ich bin auf eine interessante Lösung gekommen.,I came up with an interesting solution.,kommen
149,4,,Wasser wird _____ Eis.,zu,,Wasser wird zu Eis.,Water turns into ice.,werden
150,4,,Die Raupe wird _____ einem Schmetterling.,zu,,Die Raupe wird zu einem Schmetterling.,The caterpillar turns into a butterfly.,werden
151,5,1 - 3,to call at,bei,D,anrufen,,
152,5,5 - 7,to answer to,auf,A,antworten,,
153,5,5 - 7,to ask for / plead for,um,A,bitten,,
154,5,5 - 7,to discuss about,über,A,diskutieren,,
155,5,5 - 7,to discuss with,mit,D,diskutieren,,
156,5,5 - 7,to help with,bei,D,helfen,,
157,5,1 - 3,to be versed in / skilled in,von,D,verstehen,,
158,5,1 - 3,to get along with,mit,D,verstehen,,
159,5,5 - 7,to elect to,zu,D,wählen,,
160,5,5 - 7,to count among,zu,D,zählen,,
161,5,5 - 7,to get angry about / with,über,A,ärgern,,
162,5,5 - 7,to watch over,auf,A,aufpassen,,
163,5,5 - 7,to decide on,für,A,entscheiden,,
164,5,5 - 7,to decide against,gegen,A,entscheiden,,
165,5,5 - 7,to develop into,zu,D,entwickeln,,
166,5,5 - 7,to expect from,von,D,erwarten,,
167,5,5 - 7,to lack,an,D,fehlen,,
168,5,5 - 7,to fight against,gegen,A,kämpfen,,
169,5,5 - 7,to struggle with,mit,D,kämpfen,,
170,5,5 - 7,to advise to,zu,D,raten,,
171,5,5 - 7,to taste like,nach,D,schmecken,,
172,5,5 - 7,to protect oneself from,vor,D,schützen,,
173,5,5 - 7,to care for,für,A,sorgen,,
174,5,5 - 7,to worry about / for,um,A,sorgen,,
175,5,5 - 7,to die for,für,A,sterben,,
176,6,,Ich rufe _____ der Firma an.,bei,,Ich rufe bei der Firma an.,I call the company.,anrufen
177,6,,Er ruft _____ seiner Mutter an.,bei,,Er ruft bei seiner Mutter an.,He calls his mother.,anrufen
178,6,,Ich antworte _____ deine Frage.,auf,,Ich antworte auf deine Frage.,I answer your question.,antworten
179,6,,Er antwortet _____ die E-Mail.,auf,,Er antwortet auf die E-Mail.,He answers the email.,antworten
180,6,,Ich bitte _____ Hilfe.,um,,Ich bitte um Hilfe.,I ask for help.,bitten
181,6,,Er bittet _____ einen Gefallen.,um,,Er bittet um einen Gefallen.,He asks for a favor.,bitten
182,6,,Wir diskutieren _____ das Problem.,über,,Wir diskutieren über das Problem.,We discuss the problem.,diskutieren
183,6,,Sie diskutiert _____ Politik.,über,,Sie diskutiert über Politik.,She discusses politics.,diskutieren
184,6,,Ich diskutiere _____ meinem Freund.,mit,,Ich diskutiere mit meinem Freund.,I discuss with my friend.,diskutieren
185,6,,Er diskutiert _____ seinen Kollegen.,mit,,Er diskutiert mit seinen Kollegen.,He discusses with his colleagues.,diskutieren
186,6,,Ich helfe dir _____ den Hausaufgaben.,bei,,Ich helfe dir bei den Hausaufgaben.,I help you with your homework.,helfen
187,6,,Er hilft _____ der Organisation.,bei,,Er hilft bei der Organisation.,He helps with the organization.,helfen
188,6,,Ich verstehe nichts _____ Mathe.,von,,Ich verstehe nichts von Mathe.,I don’t understand anything about math.,verstehen
189,6,,Er versteht viel _____ Technik.,von,,Er versteht viel von Technik.,He understands a lot about technology.,verstehen
190,6,,Ich verstehe mich gut _____ meiner Schwester.,mit,,Ich verstehe mich gut mit meiner Schwester.,I get along well with my sister.,verstehen
191,6,,Er versteht sich _____ seinen Kollegen.,mit,,Er versteht sich mit seinen Kollegen.,He gets along with his colleagues.,verstehen
192,6,,Wir wählen ihn _____ Klassensprecher.,zum,,Wir wählen ihn zum Klassensprecher.,We elect him as class representative.,wählen
193,6,,Sie wurde _____ Chefin gewählt.,zur,,Sie wurde zur Chefin gewählt.,She was elected as the boss.,wählen
194,6,,Berlin zählt _____ den größten Städten Deutschlands.,zu,,Berlin zählt zu den größten Städten Deutschlands.,Berlin is considered one of the biggest cities in Germany.,zählen
195,6,,Er zählt _____ den besten Musikern.,zu,,Er zählt zu den besten Musikern.,He is considered one of the best musicians.,zählen
196,6,,Ich ärgere mich _____ die ständigen Zugverspätungen.,über,,Ich ärgere mich über die ständigen Zugverspätungen.,I get annoyed about the constant train delays.,ärgern
197,6,,Er ärgert sich _____ seine schlechte Note in Mathematik.,über,,Er ärgert sich über seine schlechte Note in Mathematik.,He is annoyed about his bad grade in math.,ärgern
198,6,,"Kannst du bitte _____ meinen Hund aufpassen, während ich weg bin?",auf,,"Kannst du bitte auf meinen Hund aufpassen, während ich weg bin?",Can you please take care of my dog while I am away?,aufpassen
199,6,,Er passt immer _____ seine kleine Schwester auf.,auf,,Er passt immer auf seine kleine Schwester auf.,He always takes care of his little sister.,aufpassen
200,6,,Ich habe mich _____ das teurere Handy entschieden.,für,,Ich habe mich für das teurere Handy entschieden.,I decided on the more expensive phone.,entscheiden
201,6,,Er hat sich _____ ein Studium in Berlin entschieden.,für,,Er hat sich für ein Studium in Berlin entschieden.,He decided to study in Berlin.,entscheiden
202,6,,Wir haben uns _____ den Kauf des Hauses entschieden.,gegen,,Wir haben uns gegen den Kauf des Hauses entschieden.,We decided against buying the house.,entscheiden
203,6,,Er entschied sich _____ das Jobangebot.,gegen,,Er entschied sich gegen das Jobangebot.,He decided against the job offer.,entscheiden
204,6,,Die Stadt hat sich _____ einem Tourismuszentrum entwickelt.,zu,,Die Stadt hat sich zu einem Tourismuszentrum entwickelt.,The city has developed into a tourist center.,entwickeln
205,6,,Das Hobby hat sich _____ einer echten Leidenschaft entwickelt.,zu,,Das Hobby hat sich zu einer echten Leidenschaft entwickelt.,The hobby has developed into a real passion.,entwickeln
206,6,,"Ich erwarte _____ dir, dass du pünktlich bist.",von,,"Ich erwarte von dir, dass du pünktlich bist.",I expect you to be on time.,erwarten
207,6,,"Mein Chef erwartet _____ mir, dass ich flexibel arbeite.",von,,"Mein Chef erwartet von mir, dass ich flexibel arbeite.",My boss expects me to work flexibly.,erwarten
208,6,,Es fehlt _____ sauberem Wasser in vielen Regionen.,an,,Es fehlt an sauberem Wasser in vielen Regionen.,There is a lack of clean water in many regions.,fehlen
209,6,,Hier fehlt es _____ ausreichend Sitzplätzen.,an,,Hier fehlt es an ausreichend Sitzplätzen.,There are not enough seats here.,fehlen
210,6,,Die Organisation kämpft _____ Armut.,gegen,,Die Organisation kämpft gegen Armut.,The organization fights against poverty.,kämpfen
211,6,,Wir kämpfen _____ Diskriminierung.,gegen,,Wir kämpfen gegen Diskriminierung.,We fight against discrimination.,kämpfen
212,6,,Er kämpft _____ gesundheitlichen Problemen.,mit,,Er kämpft mit gesundheitlichen Problemen.,He struggles with health problems.,kämpfen
213,6,,Ich kämpfe _____ der neuen Software.,mit,,Ich kämpfe mit der neuen Software.,I struggle with the new software.,kämpfen
214,6,,Ich rate dir _____ mehr Bewegung.,zu,,Ich rate dir zu mehr Bewegung.,I advise you to exercise more.,raten
215,6,,Der Arzt hat mir _____ einer Diät geraten.,zu,,Der Arzt hat mir zu einer Diät geraten.,The doctor advised me to go on a diet.,raten
216,6,,Das Essen schmeckt _____ Knoblauch.,nach,,Das Essen schmeckt nach Knoblauch.,The food tastes like garlic.,schmecken
217,6,,Der Tee schmeckt _____ Minze.,nach,,Der Tee schmeckt nach Minze.,The tea tastes like mint.,schmecken
218,6,,Diese Creme schützt _____ Sonnenbrand.,vor,,Diese Creme schützt vor Sonnenbrand.,This cream protects against sunburn.,schützen
219,6,,Die Polizei schützt die Bürger _____ Kriminalität.,vor,,Die Polizei schützt die Bürger vor Kriminalität.,The police protect citizens from crime.,schützen
220,6,,Er sorgt _____ seine Familie.,für,,Er sorgt für seine Familie.,He takes care of his family.,sorgen
221,6,,Ich sorge _____ genug Getränke bei der Party.,für,,Ich sorge für genug Getränke bei der Party.,I ensure there are enough drinks at the party.,sorgen
222,6,,Sie sorgt sich _____ die Zukunft ihrer Kinder.,um,,Sie sorgt sich um die Zukunft ihrer Kinder.,She worries about the future of her children.,sorgen
223,6,,Ich sorge mich _____ meine Prüfungen.,um,,Ich sorge mich um meine Prüfungen.,I worry about my exams.,sorgen
224,6,,Viele Menschen sind _____ ihre Freiheit gestorben.,für,,Viele Menschen sind für ihre Freiheit gestorben.,Many people have died for their freedom.,sterben
225,6,,Er ist _____ seine Überzeugungen gestorben.,für,,Er ist für seine Überzeugungen gestorben.,He died for his beliefs.,sterben
226,7,1 - 3,"to be due to, to be because of",an,D,liegen,,
227,7,5 - 7,to die of,an,A,sterben,,
228,7,5 - 7,to vote for,für,A,stimmen,,
229,7,5 - 7,to vote against,gegen,A,stimmen,,
230,7,5 - 7,to compare to / with,mit,D,vergleichen,,
231,7,5 - 7,to rely on,auf,A,verlassen,,
232,7,5 - 7,to trust in,auf,A,vertrauen,,
233,7,5 - 7,"to affect, to have an effect on",auf,A,wirken,,
234,7,5 - 7,to participate in,an,D,teilnehmen,,
235,7,5 - 7,to suffer from,an,D,leiden,,
236,7,5 - 7,to suffer under,unter,A,leiden,,
237,7,5 - 7,to take care of / care for,um,A,kümmern,,
238,7,5 - 7,to convince of,von,D,überzeugen,,
239,7,5 - 7,to depend on,auf,A,ankommen,,
240,7,1 - 3,to live off,von,D,leben,,
241,7,5 - 7,to recognize by,an,D,erkennen,,
242,7,5 - 7,to demand from,von,D,fordern,,
243,7,5 - 7,to argue about (something concrete),um,A,streiten,,
244,7,5 - 7,to argue about (something abstract),über,A,streiten,,
245,7,5 - 7,to argue with,mit,D,streiten,,
246,8,,Es liegt _____ dem Wetter.,an,,Es liegt an dem Wetter.,It’s due to the weather.,liegen
247,8,,Es liegt _____ dir.,an,,Es liegt an dir.,It’s because of you.,liegen
248,8,,Er ist _____ einer schweren Krankheit gestorben.,an,,Er ist an einer schweren Krankheit gestorben.,He died of a serious illness.,sterben
249,8,,Viele Menschen sterben _____ den Folgen von Rauchen.,an,,Viele Menschen sterben an den Folgen von Rauchen.,Many people die from the consequences of smoking.,sterben
250,8,,Ich stimme _____ den neuen Plan.,für,,Ich stimme für den neuen Plan.,I vote for the new plan.,stimmen
251,8,,Sie stimmen _____ den besten Kandidaten.,für,,Sie stimmen für den besten Kandidaten.,They vote for the best candidate.,stimmen
252,8,,Er stimmt _____ das Gesetz.,gegen,,Er stimmt gegen das Gesetz.,He votes against the law.,stimmen
253,8,,Ich stimme _____ die Idee.,gegen,,Ich stimme gegen die Idee.,I vote against the idea.,stimmen
254,8,,Vergleiche dein Auto nicht _____ meinem.,mit,,Vergleiche dein Auto nicht mit meinem.,Don't compare your car with mine.,vergleichen
255,8,,Er kann sich _____ Ihnen nicht vergleichen.,mit,,Er kann sich mit Ihnen nicht vergleichen.,He cannot compare with you.,vergleichen
256,8,,Ich verlasse mich _____ dich.,auf,,Ich verlasse mich auf dich.,I rely on you.,verlassen
257,8,,"Kann ich mich _____ verlassen, dass du pünktlich bist?",darauf,,"Kann ich mich darauf verlassen, dass du pünktlich bist?",Can I rely on you being on time?,verlassen
258,8,,Ich vertraue _____ meine Fähigkeiten.,auf,,Ich vertraue auf meine Fähigkeiten.,I trust in my abilities.,vertrauen
259,8,,Wir müssen _____ unsere Erfahrung vertrauen.,auf,,Wir müssen auf unsere Erfahrung vertrauen.,We must trust in our experience.,vertrauen
260,8,,Die Musik wirkt beruhigend _____ mich.,auf,,Die Musik wirkt beruhigend auf mich.,The music has a calming effect on me.,wirken
261,8,,Sein Verhalten wirkt arrogant _____ andere.,auf,,Sein Verhalten wirkt arrogant auf andere.,His behavior seems arrogant to others.,wirken
262,8,,Viele Menschen nahmen _____ der Demonstration teil.,an,,Viele Menschen nahmen an der Demonstration teil.,Many people participated in the demonstration.,teilnehmen
263,8,,Er hat _____ einem Marathon in Berlin teilgenommen.,an,,Er hat an einem Marathon in Berlin teilgenommen.,He participated in a marathon in Berlin.,teilnehmen
264,8,,Er leidet _____ einer chronischen Krankheit.,an,,Er leidet an einer chronischen Krankheit.,He suffers from a chronic illness.,leiden
265,8,,Viele Menschen leiden _____ den Folgen des Klimawandels.,an,,Viele Menschen leiden an den Folgen des Klimawandels.,Many people suffer from the effects of climate change.,leiden
266,8,,Sie leidet _____ der Einsamkeit nach dem Umzug.,unter,,Sie leidet unter der Einsamkeit nach dem Umzug.,She suffers from loneliness after the move.,leiden
267,8,,Er leidet _____ dem Druck bei der Arbeit.,unter,,Er leidet unter dem Druck bei der Arbeit.,He suffers from pressure at work.,leiden
268,8,,Er kümmert sich _____ seine kranke Mutter.,um,,Er kümmert sich um seine kranke Mutter.,He takes care of his sick mother.,kümmern
269,8,,Ich kümmere mich _____ die Organisation der Feier.,um,,Ich kümmere mich um die Organisation der Feier.,I take care of organizing the party.,kümmern
270,8,,Ich habe ihn _____ den Vorteilen des Projekts überzeugt.,von,,Ich habe ihn von den Vorteilen des Projekts überzeugt.,I convinced him of the benefits of the project.,überzeugen
271,8,,Sie war _____ der Qualität des Produkts überzeugt.,von,,Sie war von der Qualität des Produkts überzeugt.,She was convinced of the quality of the product.,überzeugen
272,8,,"Es kommt _____ das Wetter an, ob wir morgen wandern gehen.",auf,,"Es kommt auf das Wetter an, ob wir morgen wandern gehen.",It depends on the weather whether we go hiking tomorrow.,ankommen
