Nr,exercise,level_verb,Nr_verb,answer,question,german,english,french,type,prefix,level_root,root_german,root_english,root_french,explanation_prefix_english,explanation_prefix_french,explanation_english_beta,explanation_french_beta
12,4,A2,84,versuchen,,,"to try, to attempt","essayer, tenter",1. verb,ver,A1,suchen,"to seek, to search","chercher, rechercher",,,,
13,4,A2,92,anrufen,,,"to call by telephone, to call on (someone)",appeler par téléphone,1. verb,an,B1,rufen,"to call, to shout, to summon","appeler, crier, convoquer","to add the meaning of <i>on</i>, of a contact → an",,,
14,4,A2,93,aufhören,,,"to stop, to cease an activity or process","arrêter, cesser une activité ou un processus",1. verb,auf,A1,hören,"to hear, to listen to","entendre, écouter",,,,
15,4,A2,94,anfangen,,,to begin something new,commencer quelque chose de nouveau,1. verb,an,B2,fangen,to catch,attraper,"to indicate the action is partial, beginning → an",,,
16,4,A2,96,benutzen,,,to use (transitive),utiliser (transitif),1. verb,be,B1,nutzen,"to use, to utilize, to benefit from","utiliser, exploiter, bénéficier de",to make an intransitive verb transitive → be,,,
17,4,A2,101,aufstehen,,,"to get up, to be open (e.g. a window, door)","se lever, être ouvert (par exemple une fenêtre, une porte)",1. verb,auf,A1,stehen,"to stand, to be, to appear","être debout, apparaître",to add the meaning of <i>up</i> → auf,,,
18,4,A2,102,aufwachen,,,to wake up,se réveiller,1. verb,auf,C1,wachen,"to wake, to guard, to be awake","veiller, réveiller, surveiller",to add the meaning of <i>up</i> → auf,,,
19,4,A2,103,wehtun,,,"to hurt, to be painful","blesser, être douloureux",1. verb,weh,A1,tun,"to do, to do something to someone","faire, faire quelque chose à quelqu'un",,,,
20,4,A2,111,einladen,,,"to invite, to load (something into a container)","inviter, charger (quelque chose dans un conteneur)",1. verb,ein,B1,laden,"to load, to charge, to invite","charger, inviter","to add the meaning of <i>in</i>, <i>into</i> → ein",,,
21,4,A2,116,aussehen,,,"to look like, to appear","paraître, ressembler, apparaître",1. verb,aus,A1,sehen,"to see, to realise","voir, se rendre compte","to add the meaning of ""out"", to extend, to complete → aus",,,
22,4,A2,118,fernsehen,,,to watch TV,regarder la télévision,1. verb,fern,A1,sehen,"to see, to realise","voir, se rendre compte","to add the meaning of <i>remotely</i>, <i>from afar</i> → fern",,,
23,4,A2,122,ausgehen,,,"to go out, to run out (e.g. of money)","sortir, être à court (par exemple d'argent)",1. verb,aus,A1,gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)","to add the meaning of ""out"", to extend, to complete → aus",,,
24,4,A2,124,ankommen,,,"to arrive, to depend on something","arriver, dépendre de quelque chose",1. verb,an,A1,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire","to add the meaning of <i>on</i>, of a contact → an",,,
25,4,A2,126,anmelden,,,"to register, to sign up, to sign on",s'inscrire,1. verb,an,A2,melden,"to report, to register","signaler, enregistrer","to add the meaning of <i>on</i>, of a contact → an",,,
26,4,A2,128,verlassen,,,"to leave, to trust with something (refl.), to pass away, to die","partir, confier quelque chose (réfl.), décéder, mourir",1. verb,ver,A2,lassen,"to let, to leave, to allow","laisser, quitter, permettre",,,,
27,4,A2,138,vorstellen,,,"to introduce, to present oneself (refl.), to move forward, to represent","introduire, se présenter (réfl.), représenter",1. verb,vor,A2,stellen,"to position, to put, to catch","positionner, mettre","to indicate that something is <i>in front</i>, a performance → vor",,,
28,4,A2,139,entscheiden,,,to decide,décider,1. verb,ent,B2,scheiden,"to separate, to divorce, to part","se séparer, divorcer",,,,
29,4,A2,148,empfehlen,,,"to recommend, to suggest","recommander, suggérer",1. verb,emp,A2,fehlen,"to lack, to be absent or missing","manquer, être absent ou manquant",,,,
30,4,A2,152,annehmen,,,"to accept, to assume (a hypothesis), to receive, to suppose","accepter, supposer (une hypothèse), recevoir",1. verb,an,A1,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)","to add the meaning of <i>on</i>, of a contact → an",,,
31,4,A2,153,aussteigen,,,"to exit, to get off","sortir, descendre",1. verb,aus,A2,steigen,"to ascend, to climb, to rise","monter, grimper, s'élever","to add the meaning of ""out"", to extend, to complete → aus",,,
32,4,A2,154,einsteigen,,,"to enter, to get in, to board","entrer, monter à bord, embarquer",1. verb,ein,A2,steigen,"to ascend, to climb, to rise","monter, grimper, s'élever","to add the meaning of <i>in</i>, <i>into</i> → ein",,,
33,4,A2,155,vorbereiten,,,"to prepare, to get ready, to prepare in advance",se préparer,1. verb,vor,C1,bereiten,"to prepare, to cause","préparer, provoquer","to add the meaning of <i>pre-</i>, that something is <i>before</i>, <i>in advance</i> → vor",,,
34,4,A2,156,umziehen,,,"to move (house), to change clothes","déménager, changer de vêtements",1. verb,um,A1,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer",to add the meaning of <i>around</i> → um,,,
35,4,A2,158,entdecken,,,"to discover, to find","découvrir, trouver",1. verb,ent,B2,decken,"to cover, to set (a table), to hedge","couvrir, dresser (une table), se protéger",,,,
36,7,B1,161,verändern,,,"to alter, to change something","modifier, changer quelque chose",1. verb,ver,A2,ändern,to change (one's personality or behavior),changer (sa personnalité ou son comportement),,,,
37,7,B1,162,stattfinden,,,"to take place, to occur","avoir lieu, se produire",1. verb,statt,A1,finden,to find,trouver,"to add the meaning of ""out"", to extend, to complete → aus",,,
38,7,B1,164,versprechen,,,"to promise, to hope for, to misspeak","promettre, espérer",1. verb,ver,A1,sprechen,to speak,parler (une langue),,,,
39,7,B1,165,erkennen,,,"to recognize, to realise","reconnaître, réaliser",1. verb,er,A1,kennen,"to know, to be acquainted with, to be familiar with","connaître, être familier avec",,,,
40,7,B1,166,besitzen,,,"to own, to possess, to have","posséder, avoir",1. verb,be,A1,sitzen,"to be seated, to stay, to fit (of clothing)","être assis, rester",,,,
41,7,B1,167,übernehmen,,,to take over,"prendre le relais, prendre le contrôle",1. verb,über,A1,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)","to add the meaning of <i>over</i>, to translate the prefix <i>sur</i> → über",,,
42,7,B1,168,enthalten,,,"to contain, to include","contenir, inclure",1. verb,ent,A1,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder",,,,
43,7,B1,174,erwarten,,,"to expect, to await",s'attendre à,1. verb,er,A1,warten,"to wait, to maintain (e.g. a car)","attendre, entretenir (par exemple une voiture)",,,,
44,7,B1,175,behalten,,,to keep,garder,1. verb,be,A1,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder",,,,
45,7,B1,176,verpassen,,,"to miss (to be late for something, e.g. a train)","manquer (être en retard pour quelque chose, par exemple un train)",1. verb,ver,A2,passen,"to fit, to suit","s'adapter, convenir",,,,
46,7,B1,180,befinden,,,"to be located (refl.), to find, to consider (formal)","être localisé (réfl.), trouver, considérer (formel)",1. verb,be,A1,finden,to find,trouver,,,,
47,7,B1,185,einkaufen,,,to shop,"faire les courses, faire du shopping",1. verb,ein,A1,kaufen,to buy,acheter,"to add the meaning of <i>in</i>, <i>into</i> → ein",,,
48,7,B1,186,bestimmen,,,"to determine, to assign, to decide, to ascertain","déterminer, fixer, décider, identifier, assigner",1. verb,be,B1,stimmen,"to be true, to vote, to tune","être vrai, voter, s'accorder",,,,
49,7,B1,195,beenden,,,"to finish, to end, to complete","finir, terminer, achever",1. verb,be,B1,enden,"to end, to finish, to conclude","terminer, achever, conclure",to make an intransitive verb transitive → be,,,
50,7,B1,197,erhalten,,,"to receive, to get, to obtain, to preserve","recevoir, obtenir, acquérir, préserver",1. verb,er,A1,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder",,,,
51,7,B1,199,verdienen,,,"to earn, to deserve","gagner, mériter",1. verb,ver,B1,dienen,"to serve, to function","servir, fonctionner",,,,
52,7,B1,205,kennenlernen,,,"to meet someone, to get to know someone","rencontrer quelqu'un, apprendre à connaître quelqu'un",1. verb,kennen,A1,lernen,"to learn, to study, to train something","apprendre, étudier, se former à quelque chose",,,,
53,8,B1,207,ersetzen,,,"to replace, to substitute, to compensate for","remplacer, substituer, compenser",1. verb,er,A2,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.),,,,
54,8,B1,210,vorschlagen,,,"to suggest, to propose","suggérer, proposer",1. verb,vor,B1,schlagen,"to hit, to beat, to strike, to defeat","frapper, battre, vaincre","to indicate that something is <i>in front</i>, a performance → vor",,,
55,8,B1,211,teilnehmen,,,"to participate, to take part, to partake","participer, prendre part",1. verb,teil,A1,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)",,,,
56,8,B1,212,überprüfen,,,"to check, to examine, to verify","vérifier, examiner",1. verb,über,B2,prüfen,"to check, to examine, to test, to investigate","vérifier, examiner, tester, enquêter",,,,
57,8,B1,213,beraten,,,"to advise, to consult, to discuss","conseiller, consulter, discuter",1. verb,be,B1,raten,"to advise, to recommend, to guess","conseiller, recommander, deviner",to make an intransitive verb transitive → be,,,
58,8,B1,214,bewerben,,,"to apply (for a job, position)","postuler (à un emploi, un poste)",1. verb,be,B2,werben,"to advertise, to recruit","faire de la publicité, recruter",,,,
59,8,B1,216,anbieten,,,"to offer, to provide, to propose","offrir, fournir, proposer",1. verb,an,A2,bieten,"to offer, to bid, to arise, to occur (of an opportunity) (refl.)","offrir, enchérir, surgir, se produire (d'une opportunité) (réfl.)",,,,
60,8,B1,217,mitnehmen,,,"to take along, to take with",emporter,1. verb,mit,A1,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)","to add the meaning of <i>along</i>, <i>with</i> → mit",,,
61,8,B1,218,mitbringen,,,"to bring along, to bring with",apporter,1. verb,mit,A1,bringen,"to bring, to take, to lead","apporter, prendre, conduire","to add the meaning of <i>along</i>, <i>with</i> → mit",,,
62,8,B1,220,aufpassen,,,"to pay attention, to watch out, to take care","faire attention, prendre soin",1. verb,auf,A2,passen,"to fit, to suit","s'adapter, convenir",,,,
63,8,B1,224,abholen,,,"to pick up, to collect","ramasser, collecter",1. verb,ab,A2,holen,to fetch,aller chercher,"to add the meaning of <i>off</i>, <i>away</i> → ab",,,
64,8,B1,227,zustimmen,,,"to agree, to consent, to approve","être d'accord, consentir, approuver",1. verb,zu,B1,stimmen,"to be true, to vote, to tune","être vrai, voter, s'accorder",,,,
65,8,B1,231,sich verlieben,,,to fall in love,tomber amoureux,1. verb,ver,A1,lieben,to love,"aimer, être amoureux de",,,,
66,8,B1,232,aufräumen,,,"to tidy up, to clean up, to clear","ranger, nettoyer, débarrasser",1. verb,auf,B2,räumen,"to clear, to remove, to vacate","déblayer, débrancher, dégager",to add the meaning of <i>up</i> → auf,,,
67,8,B1,233,beschreiben,,,"to describe, to depict","décrire, représenter",1. verb,be,A1,schreiben,to write,écrire,to discuss or mention an object → be,,,
68,8,B1,234,verbinden,,,"to connect, to link, to join, to bandage","connecter, lier, joindre, bander",1. verb,ver,B2,binden,"to tie, to bind, to attach","attacher, lier",,,,
69,8,B1,235,abhängen,,,"to depend on, to hang out (coll.)","dépendre de, fréquenter (coll.)",1. verb,ab,A2,hängen,"to hang, to be fond of, depend on","accrocher, aimer, dépendre de",,,,
70,9,B1,237,zurückgeben,,,"to return, to give back, to answer back","rendre, répondre",1. verb,zurück,A1,geben,to give,donner,to add the meaning of <i>back</i> → zurück,,,
71,9,B1,238,mitkommen,,,"to come along, to keep up","venir, suivre",1. verb,mit,A1,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire","to add the meaning of <i>along</i>, <i>with</i> → mit",,,
72,9,B1,240,ausruhen,,,"to rest, to relax","se reposer, se détendre",1. verb,aus,C1,ruhen,"to rest, to be at rest, to repose",reposer,"to add the meaning of ""out"", to extend, to complete → aus",,,
73,9,B1,242,verbringen,,,"to spend (time), to pass",passer (du temps),1. verb,ver,A1,bringen,"to bring, to take, to lead","apporter, prendre, conduire",,,,
74,9,B1,243,vorhaben,,,"to intend, to plan, to be up to","avoir l'intention de, planifier, être à la hauteur",1. verb,vor,A1,haben,"to have, to contain","avoir, contenir","to add the meaning of <i>pre-</i>, that something is <i>before</i>, <i>in advance</i> → vor",,,
75,9,B1,244,erleben,,,"to experience, to live through","expérimenter, vivre",1. verb,er,A1,leben,to live,vivre,,,,
76,9,B1,246,sich erholen,,,"to recover, to recuperate","récupérer, se rétablir",1. verb,er,A2,holen,to fetch,aller chercher,,,,
77,9,B1,247,erfahren,,,"to learn, to find out, to experience","apprendre, découvrir, expérimenter",1. verb,er,A1,fahren,"to go (by vehicle), to leave, to drive","aller (en véhicule), partir, conduire",,,,
78,9,B1,254,verbieten,,,"to forbid, to prohibit","interdire, prohiber",1. verb,ver,A2,bieten,"to offer, to bid, to arise, to occur (of an opportunity) (refl.)","offrir, enchérir, surgir, se produire (d'une opportunité) (réfl.)",equivalent of english <i>for</i> → ver,,,
79,9,B1,255,unterschreiben,,,"to sign, to subscribe, to unterwrite","signer, souscrire",1. verb,unter,A1,schreiben,to write,écrire,"to add the meaning of <i>under</i>, to translate the prefix <i>sub-</i> → unter",,,
80,9,B1,256,empfangen,,,"to receive, to welcome, to greet","recevoir, accueillir, saluer",1. verb,emp,B2,fangen,to catch,attraper,,,,
81,9,B1,257,bestellen,,,"to order, to reserve","commander, réserver",1. verb,be,A2,stellen,"to position, to put, to catch","positionner, mettre",,,,
82,9,B1,267,aufnehmen,,,"to record, to take in, to absorb, to include","enregistrer, assimiler, absorber, inclure",1. verb,auf,A1,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)",to add the meaning of <i>up</i> → auf,,,
83,9,B1,270,beantworten,,,"to answer, to reply to (transitive)","répondre, répliquer à (transitif)",1. verb,be,A2,antworten,"to answer, to reply","répondre, répliquer",to make an intransitive verb transitive → be,,,
84,9,B1,274,besprechen,,,"to discuss, to talk about","discuter, parler de",1. verb,be,A1,sprechen,to speak,parler (une langue),to discuss or mention an object → be,,,
85,9,B1,275,erfinden,,,"to invent, to make up, to fabricate","inventer, fabriquer",1. verb,er,A1,finden,to find,trouver,,,,
86,10,B1,277,unterrichten,,,"to teach, to instruct, to inform","enseigner, instruire, informer",1. verb,unter,B2,richten,"to direct, to adjust, to focus, to judge","diriger, ajuster, focaliser, juger",,,,
87,10,B1,278,bestehen,,,"to pass, to exist, to consist, to insist","passer, exister, consister, insister",1. verb,be,A1,stehen,"to stand, to be, to appear","être debout, apparaître",to work on or change the state of an object → be,,,
88,10,B1,279,abschließen,,,"to complete, to conclude, to lock","compléter, conclure, verrouiller",1. verb,ab,A1,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure","to add the meaning of <i>off</i>, <i>away</i> → ab",,,
89,10,B1,281,ausbilden,,,"to train, to educate, to develop","former, éduquer, développer (une compétence)",1. verb,aus,B1,bilden,"to form, to constitute, to educate","former, constituer, éduquer","to add the meaning of ""out"", to extend, to complete → aus",,,
90,10,B1,282,herausfinden,,,"to find out, to discover, to figure out","découvrir, comprendre",1. verb,heraus,A1,finden,to find,trouver,,,,
91,10,B1,285,zurückkommen,,,"to come back, to return","revenir, retourner",1. verb,zurück,A1,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire",to add the meaning of <i>back</i> → zurück,,,
92,10,B1,286,zerstören,,,"to destroy, to ruin","détruire, ruiner",1. verb,zer,A2,stören,"to disturb, to interfere","déranger, interférer",,,,
93,10,B1,289,absagen,,,"to cancel, to call off",annuler,1. verb,ab,A1,sagen,"to say, to tell","dire, raconter","to add the meaning of <i>off</i>, <i>away</i> → ab",,,
94,10,B1,293,empfinden,,,"to feel, to sense, to perceive","sentir, pressentir, percevoir",1. verb,emp,A1,finden,to find,trouver,,,,
95,10,B1,294,beobachten,,,"to observe, to watch, to monitor","observer, surveiller",1. verb,beob,B1,achten,"to respect, to pay attention to, to heed","respecter, prêter attention à",,,,
96,10,B1,303,herunterladen,,,to download,télécharger,1. verb,herunter,B1,laden,"to load, to charge, to invite","charger, inviter",,,,
97,10,B1,304,berichten,,,"to report, to inform, to cover","signaler, informer, couvrir",1. verb,be,B2,richten,"to direct, to adjust, to focus, to judge","diriger, ajuster, focaliser, juger",to discuss or mention an object → be,,,
98,10,B1,307,umsteigen,,,"to change, to transfer, to switch","changer, transférer, commuter",1. verb,um,A2,steigen,"to ascend, to climb, to rise","monter, grimper, s'élever",,,,
99,10,B1,314,vermeiden,,,"to avoid, to prevent","éviter, empêcher",1. verb,ver,C1,meiden,"to avoid, to shun","éviter, fuir",,,,
100,10,B1,317,verstecken,,,"to hide, to conceal","cacher, dissimuler",1. verb,ver,B2,stecken,"to stick, to pin","coller, épingler",,,,
101,10,B1,320,ausgeben,,,"to spend, to expend, to issue","dépenser, émettre",1. verb,aus,A1,geben,to give,donner,"to add the meaning of ""out"", to extend, to complete → aus",,,
102,19,B2,321,darstellen,,,"to depict, to portray, to represent, to illustrate","dépeindre, représenter, illustrer",1. verb,dar,A2,stellen,"to position, to put, to catch","positionner, mettre",,,,
103,19,B2,323,erreichen,,,"to reach, to achieve, to attain","atteindre, réaliser, parvenir",1. verb,er,B2,reichen,"to reach, to hand, to be enough","atteindre, mettre la main, être suffisant",,,,
104,19,B2,326,herstellen,,,"to produce, to make, to establish","produire, fabriquer, établir",1. verb,her,A2,stellen,"to position, to put, to catch","positionner, mettre",,,,
105,19,B2,330,verwenden,,,"to use, to employ, to utilize","utiliser, employer, exploiter",1. verb,ver,B2,wenden,"to turn, to reverse, to address","tourner, inverser, s'adresser",,,,
106,19,B2,331,verschieben,,,"to postpone, to move, to shift","reporter, déplacer, décaler",1. verb,ver,B2,schieben,"to push, to shove, to wheel","pousser, bousculer, faire tourner",,,,
107,19,B2,332,feststellen,,,"to determine, to ascertain, to notice","déterminer, constater, remarquer",1. verb,fest,A2,stellen,"to position, to put, to catch","positionner, mettre",,,,
108,19,B2,333,unterhalten,,,"to entertain, to maintain, to support, to convert","divertir, entretenir, soutenir, convertir",1. verb,unter,A1,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder",,,,
109,19,B2,334,einstellen,,,"to hire, to adjust, to stop","embaucher, ajuster, arrêter",1. verb,ein,A2,stellen,"to position, to put, to catch","positionner, mettre","to add the meaning of <i>in</i>, <i>into</i> → ein",,,
110,19,B2,339,überlegen,,,"to consider, to think about, to reflect, to lay over","considérer, penser à, réfléchir, recouvrir, poser par-dessus",1. verb,über,A2,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger",,,,
111,19,B2,340,unternehmen,,,"to undertake, to attempt, to take action","entreprendre, tenter, agir",1. verb,unter,A1,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)","to add the meaning of <i>under</i>, to translate the prefix <i>sub-</i> → unter",,,
112,19,B2,342,vertreten,,,"to represent, to advocate, to stand in for","représenter, défendre, se substituer",1. verb,ver,B2,treten,"to step, to kick, to enter","marcher, donner un coup de pied, entrer",,,,
113,19,B2,345,durchführen,,,"to carry out, to conduct, to implement","réaliser, mener, mettre en œuvre",1. verb,durch,A2,führen,"to lead, to guide","guider, conduire",to add the meaning of <i>through</i> → durch,,,
114,19,B2,347,untersuchen,,,"to investigate, to examine, to analyze","enquêter, examiner, analyser",1. verb,unter,A1,suchen,"to seek, to search","chercher, rechercher",,,,
115,19,B2,348,verraten,,,"to betray, to reveal","trahir, révéler",1. verb,ver,B1,raten,"to advise, to recommend, to guess","conseiller, recommander, deviner",,,,
116,19,B2,349,entstehen,,,"to arise, to develop, to come into being","surgir, se développer, naître",1. verb,ent,A1,stehen,"to stand, to be, to appear","être debout, apparaître",,,,
117,19,B2,350,abgeben,,,"to submit, to hand in, to deliver","soumettre, remettre, livrer",1. verb,ab,A1,geben,to give,donner,"to add the meaning of <i>off</i>, <i>away</i> → ab",,,
118,19,B2,356,ablehnen,,,"to refuse, to reject, to decline","refuser, rejeter, décliner",1. verb,ab,C2,lehnen,to lean,se pencher,,,,
119,19,B2,357,einsetzen,,,"to use, to apply, to deploy, to insert","utiliser, appliquer, déployer, insérer",1. verb,ein,A2,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.),"to add the meaning of <i>in</i>, <i>into</i> → ein",,,
120,19,B2,361,auswählen,,,"to choose, to select","choisir, sélectionner",1. verb,aus,A2,wählen,"to choose, to dial (a number), to vote","choisir, composer (un numéro), voter","to add the meaning of ""out"", to extend, to complete → aus",,,
121,19,B2,372,behandeln,,,"to treat, to handle, to deal with","traiter, manipuler, faire face à",1. verb,be,B1,handeln,"to act, to deal, to trade, to negotiate","agir, traiter, commercer, négocier",,,,
122,19,B2,373,ansehen,,,"to look at something, to watch something","regarder quelque chose, observer quelque chose",1. verb,an,A1,sehen,"to see, to realise","voir, se rendre compte",to add intensity to a reference point → an,,,
123,20,B2,374,mitteilen,,,"to inform, to notify, to communicate","informer, notifier, communiquer",1. verb,mit,A2,teilen,"to split, to share, to divide","diviser, partager","to add the meaning of <i>along</i>, <i>with</i> → mit",,,
124,20,B2,375,erstellen,,,"to create, to prepare, to compile","créer, préparer, compiler",1. verb,er,A2,stellen,"to position, to put, to catch","positionner, mettre",,,,
125,20,B2,377,bedienen,,,"to serve, to operate, to use","servir, opérer, utiliser",1. verb,be,B1,dienen,"to serve, to function","servir, fonctionner",to make an intransitive verb transitive → be,,,
126,20,B2,380,zuhören,,,to listen to someone (with dative),écouter quelqu'un,1. verb,zu,A1,hören,"to hear, to listen to","entendre, écouter",,,,
127,20,B2,383,übertragen,,,"to transfer, to transmit, to broadcast","transférer, transmettre, diffuser",1. verb,über,A1,tragen,"to wear (clothing), to carry, to hold","porter (des vêtements), transporter, tenir",to translate the prefix <i>trans-</i> → über,,,
128,20,B2,384,verteilen,,,"to distribute, to allocate, to hand out","distribuer, attribuer",1. verb,ver,A2,teilen,"to split, to share, to divide","diviser, partager",,,,
129,20,B2,387,zunehmen,,,"to increase, to gain (weight), to rise","augmenter, prendre (du poids), s'élever",1. verb,zu,A1,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)",,,,
130,20,B2,388,entsprechen,,,"to correspond, to match, to comply with","correspondre, égaler, se conformer à",1. verb,ent,A1,sprechen,to speak,parler (une langue),,,,
131,20,B2,389,mitmachen,,,"to participate, to join in, to go along","participer, se joindre à, accompagner",1. verb,mit,A1,machen,"to make, to prepare, to do","faire, préparer","to add the meaning of <i>along</i>, <i>with</i> → mit",,,
132,20,B2,391,erfüllen,,,"to fulfill, to satisfy, to carry out","accomplir, satisfaire, réaliser",1. verb,er,B2,füllen,"to fill, to stuff","remplir, farcir",,,,
133,20,B2,405,erfolgen,,,"to occur, to take place","se produire, avoir lieu",1. verb,er,A2,folgen,to follow,suivre,,,,
134,20,B2,409,begründen,,,"to justify, to explain, to establish","justifier, expliquer, établir",1. verb,be,B2,gründen,"to found, to establish, to start","fonder, établir, démarrer",,,,
135,20,B2,411,festlegen,,,"to define, to determine, to set","définir, déterminer, établir",1. verb,fest,A2,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger",,,,
136,20,B2,414,ausfüllen,,,"to complete, to fill in, to fill out","compléter, remplir",1. verb,aus,B2,füllen,"to fill, to stuff","remplir, farcir","to add the meaning of ""out"", to extend, to complete → aus",,,
137,20,B2,417,einziehen,,,"to move in, to penetrate, to infiltrate","s'introduire, pénétrer, s'infiltrer",1. verb,ein,A1,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer","to add the meaning of <i>in</i>, <i>into</i> → ein",,,
138,20,B2,420,eingehen,,,"to shrink (textile), to wither, to die (plants, animals), to assume something","rétrécir (textile), se faner, mourir (plantes, animaux), prendre quelque chose",1. verb,ein,A1,gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)",,,,
139,20,B2,430,nachdenken,,,"to think about, to reflect, to ponder","penser à, réfléchir, méditer",1. verb,nach,A1,denken,"to think, to consider","penser, considérer",to indicate a purposeful action → nach,,,
140,20,B2,432,einrichten,,,"to set up, to furnish, to arrange","installer, meubler, aménager",1. verb,ein,B2,richten,"to direct, to adjust, to focus, to judge","diriger, ajuster, focaliser, juger",,,,
141,20,B2,435,beachten,,,"to notice, to pay attention to, to observe","remarquer, prêter attention à, observer",1. verb,be,B1,achten,"to respect, to pay attention to, to heed","respecter, prêter attention à",to make an intransitive verb transitive → be,,,
142,20,B2,438,anzeigen,,,"to report, to indicate, to display","signaler, indiquer, afficher",1. verb,an,A1,zeigen,"to show, to point at, to demonstrate","montrer, pointer du doigt, démontrer","to add the meaning of <i>on</i>, of a contact → an",,,
143,20,B2,442,eröffnen,,,"to open, to inaugurate","ouvrir, inaugurer",1. verb,er,A1,öffnen,to open,ouvrir,,,,
144,21,B2,451,abnehmen,,,"to decrease, to lose weight, to remove","diminuer, perdre du poids, éliminer",1. verb,ab,A1,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)","to add the meaning of <i>off</i>, <i>away</i> → ab",,,
145,21,B2,452,beweisen,,,"to prove, to demonstrate","prouver, démontrer",1. verb,be,B2,weisen,"to point, to direct, to indicate","pointer, diriger, indiquer",,,,
146,21,B2,454,erscheinen,,,"to appear, to be published, to seem","apparaître, être publié, sembler",1. verb,er,A2,scheinen,"to shine, to seem (formal)","briller, paraître (formel)",,,,
147,21,B2,457,beschließen,,,"to decide, to resolve","décider, résoudre",1. verb,be,A1,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure",to work on or change the state of an object → be,,,
