Nr,exercise,question,answer,german,english,french,person,case_english,case_french,gender_english,gender_french
19,2,_____ hast im Kino einen spannenden Film gesehen.,Du,Du hast im Kino einen spannenden Film gesehen.,You saw an exciting film in the cinema. (Singular),Vous avez vu un film passionnant au cinéma. (Singulier),Du,Nominative,Nominatif,,
20,2,Heute ist _____ sehr pünktlich angekommen.,er,Heute ist er sehr pünktlich angekommen.,Today he arrived very punctually.,"Aujourd'hui, il est arrivé très ponctuellement.",Er,Nominative,Nominatif,,
21,2,_____ pflanzt im Garten neue Blumen.,Er,Er pflanzt im Garten neue Blumen.,He plants new flowers in the garden.,Il plante de nouvelles fleurs dans le jardin.,Er,Nominative,Nominatif,,
22,2,"_____ liebt es, im Sommer zu wandern.",Er,"Er liebt es, im Sommer zu wandern.",He loves hiking in the summer.,Il adore faire de la randonnée en été.,Er,Nominative,Nominatif,,
23,2,Nach der Arbeit liest _____ gerne die Zeitung.,er,Nach der Arbeit liest er gerne die Zeitung.,After work he likes to read the newspaper.,"Après le travail, il aime lire le journal.",Er,Nominative,Nominatif,,
24,2,Am Wochenende spielt _____ immer Fußball mit Freunden.,er,Am Wochenende spielt er immer Fußball mit Freunden.,On weekends he always plays football with friends.,"Le week-end, il joue toujours au football avec ses amis.",Er,Nominative,Nominatif,,
25,2,Heute trägt _____ ein schönes Kleid.,sie,Heute trägt sie ein schönes Kleid.,Today she is wearing a beautiful dress.,"Aujourd'hui, elle porte une belle robe.",Sie (Singular),Nominative,Nominatif,,
26,2,Nach der Arbeit ruht _____ sich meistens aus.,sie,Nach der Arbeit ruht sie sich meistens aus.,After work she usually rests.,"Après le travail, elle se repose généralement.",Sie (Singular),Nominative,Nominatif,,
27,2,_____ kocht gerne für ihre Familie.,Sie,Sie kocht gerne für ihre Familie.,She enjoys cooking for her family.,Elle aime cuisiner pour sa famille.,Sie (Singular),Nominative,Nominatif,,
28,2,Am Wochenende besucht _____ oft ihre Freunde.,sie,Am Wochenende besucht sie oft ihre Freunde.,She often visits her friends on weekends.,Elle rend souvent visite à ses amis le week-end.,Sie (Singular),Nominative,Nominatif,,
29,2,Gestern hat _____ ein interessantes Buch gelesen.,sie,Gestern hat sie ein interessantes Buch gelesen.,Yesterday she read an interesting book.,"Hier, elle a lu un livre intéressant.",Sie (Singular),Nominative,Nominatif,,
30,2,Heute ist _____ sehr kalt draußen.,es,Heute ist es sehr kalt draußen.,It is very cold outside today.,Il fait très froid dehors aujourd'hui.,Es,Nominative,Nominatif,,
31,2,_____ steht im Wohnzimmer auf dem Tisch.,Es,Es steht im Wohnzimmer auf dem Tisch.,It's on the table in the living room.,C'est sur la table du salon.,Es,Nominative,Nominatif,,
32,2,"_____ scheint, als ob es bald regnet.",Es,"Es scheint, als ob es bald regnet.",It looks like it's going to rain soon.,On dirait qu'il va bientôt pleuvoir.,Es,Nominative,Nominatif,,
33,2,_____ sieht auf dem Bild aus wie ein Gemälde.,Es,Es sieht auf dem Bild aus wie ein Gemälde.,It looks like a painting in the picture.,Cela ressemble à un tableau sur la photo.,Es,Nominative,Nominatif,,
34,2,"Morgens dauert _____ immer eine Weile, bis die Sonne aufgeht.",es,"Morgens dauert es immer eine Weile, bis die Sonne aufgeht.",In the morning it always takes a while for the sun to rise.,"Le matin, il faut toujours un certain temps avant que le soleil ne se lève.",Es,Nominative,Nominatif,,
35,2,Heute treffen _____ uns im Park.,wir,Heute treffen wir uns im Park.,Today we meet in the park.,"Aujourd'hui, nous nous retrouvons au parc.",Uns,Nominative,Nominatif,,
36,2,Nach dem Frühstück planen _____ unsere Wanderung.,wir,Nach dem Frühstück planen wir unsere Wanderung.,After breakfast we plan our hike.,"Après le petit-déjeuner, nous planifions notre randonnée.",Uns,Nominative,Nominatif,,
37,2,"_____ hoffen, dass das Wetter morgen schön wird.",Wir,"Wir hoffen, dass das Wetter morgen schön wird.",We hope the weather will be nice tomorrow.,Nous espérons que le temps sera beau demain.,Uns,Nominative,Nominatif,,
38,2,Am Wochenende spielen _____ oft zusammen Fußball.,wir,Am Wochenende spielen wir oft zusammen Fußball.,We often play football together on weekends.,Nous jouons souvent au football ensemble le week-end.,Uns,Nominative,Nominatif,,
39,2,Gestern haben _____ einen Ausflug ins Museum gemacht.,wir,Gestern haben wir einen Ausflug ins Museum gemacht.,Yesterday we took a trip to the museum.,"Hier, nous avons fait une visite au musée.",Uns,Nominative,Nominatif,,
40,2,_____ habt im Park gestern ein Picknick gemacht.,Ihr,Ihr habt im Park gestern ein Picknick gemacht.,You had a picnic in the park yesterday. (Plural),Vous avez fait un pique-nique au parc hier. (Non Formel),Ihr,Nominative,Nominatif,,
41,2,"Heute Abend geht _____ ins Theater, oder?",ihr,"Heute Abend geht ihr ins Theater, oder?","You're going to the theater tonight, right? (Plural)","Vous allez au théâtre ce soir, n'est-ce pas ? (Non Formel)",Ihr,Nominative,Nominatif,,
42,2,_____ könnt mir später bei der Aufgabe helfen.,Ihr,Ihr könnt mir später bei der Aufgabe helfen.,You can help me with the task later. (Plural),Vous pourrez m'aider avec la tâche plus tard. (Non Formel),Ihr,Nominative,Nominatif,,
43,2,Nach dem Frühstück plant _____ den Tagesausflug.,ihr,Nach dem Frühstück plant ihr den Tagesausflug.,After breakfast you plan your day trip. (Plural),"Après le petit-déjeuner, vous planifiez votre excursion de la journée.  (Non Formel)",Ihr,Nominative,Nominatif,,
44,2,Morgen trefft _____ euch mit Freunden im Café.,ihr,Morgen trefft ihr euch mit Freunden im Café.,Tomorrow you're meeting friends at the café. (Plural),"Demain, vous rencontrez des amis au café. (Non Formel)",Ihr,Nominative,Nominatif,,
45,2,_____ reisen im Urlaub oft in exotische Länder.,Sie,Sie reisen im Urlaub oft in exotische Länder.,They often travel to exotic countries on vacation.,Ils voyagent souvent dans des pays exotiques en vacances.,Sie (Plural),Nominative,Nominatif,,
46,2,Heute Abend feiern _____ eine große Party.,sie,Heute Abend feiern sie eine große Party.,They're having a big party tonight.,Ils organisent une grande fête ce soir.,Sie (Plural),Nominative,Nominatif,,
47,2,_____ haben gestern einen interessanten Vortrag besucht.,Sie,Sie haben gestern einen interessanten Vortrag besucht.,They attended an interesting lecture yesterday.,Ils ont assisté à une conférence intéressante hier.,Sie (Plural),Nominative,Nominatif,,
48,2,_____ haben beim Fußballspiel viele Tore geschossen.,Sie,Sie haben beim Fußballspiel viele Tore geschossen.,They scored a lot of goals in the football match.,Ils ont marqué beaucoup de buts lors du match de football.,Sie (Plural),Nominative,Nominatif,,
49,2,Nach der Arbeit treffen _____ sich manchmal im Park.,sie,Nach der Arbeit treffen sie sich manchmal im Park.,After work they sometimes meet in the park.,"Après le travail, ils se retrouvent parfois dans le parc.",Sie (Plural),Nominative,Nominatif,,
50,2,_____ bekommen im Hotel das beste Zimmer.,Sie,Sie bekommen im Hotel das beste Zimmer.,You get the best room in the hotel. (Formal),Vous obtenez la meilleure chambre de l'hôtel. (Formel),Sie (Formell),Nominative,Nominatif,,
51,2,Heute Abend besuchen _____ eine Aufführung im Theater.,Sie,Heute Abend besuchen Sie eine Aufführung im Theater.,Tonight you are attending a performance at the theater. (Formal),"Ce soir, vous assistez à une représentation au théâtre. (Formel)",Sie (Formell),Nominative,Nominatif,,
52,2,_____ können uns jederzeit anrufen.,Sie,Sie können uns jederzeit anrufen.,You can call us anytime. (Formal),Vous pouvez nous appeler à tout moment. (Formel),Sie (Formell),Nominative,Nominatif,,
53,2,_____ haben beim Meeting viele gute Ideen eingebracht.,Sie,Sie haben beim Meeting viele gute Ideen eingebracht.,You brought up many good ideas at the meeting. (Formal),Vous avez évoqué de nombreuses bonnes idées lors de la réunion. (Formel),Sie (Formell),Nominative,Nominatif,,
54,2,Nach der Besprechung schicken _____ uns die Unterlagen.,Sie,Nach der Besprechung schicken Sie uns die Unterlagen.,"After the meeting, please send us the documents. (Formal)","Après la réunion, veuillez nous envoyer les documents. (Formel)",Sie (Formell),Nominative,Nominatif,,
55,3,,Mich,,1st Person Singular,1ère Personne Singulier,,Accusative,Accusatif,,
56,3,,Dich,,2nd Person Singular,2ème Personne Singulier,,Accusative,Accusatif,,
57,3,,Ihn,,3rd Person Singular (Masculine),3ème Personne Singulier (Masculin),,Accusative,Accusatif,,
58,3,,Sie,,3rd Person Singular (Feminine),3ème Personne Singulier (Féminin),,Accusative,Accusatif,,
59,3,,Es,,3rd Person Singular (Neuter),3ème Personne Singulier (Neutre),,Accusative,Accusatif,,
60,3,,Uns,,1st Person Plural,1ère Personne Pluriel,,Accusative,Accusatif,,
61,3,,Euch,,2nd Person Plural,2ème Personne Pluriel,,Accusative,Accusatif,,
62,3,,Sie,,3rd Person Plural,3ème Personne Pluriel,,Accusative,Accusatif,,
63,3,,Sie,,Formal (You),Formel (Vous),,Accusative,Accusatif,,
64,4,Kannst du _____ morgen im Büro anrufen?,mich,Kannst du mich morgen im Büro anrufen?,Can you call me at the office tomorrow?,Peux-tu m'appeler au bureau demain ?,Ich,Accusative,Accusatif,,
65,4,Heute hat niemand _____ besucht.,mich,Heute hat niemand mich besucht.,Nobody visited me today.,Personne ne m'a rendu visite aujourd'hui.,Ich,Accusative,Accusatif,,
66,4,Der Film hat _____ gestern total begeistert.,mich,Der Film hat mich gestern total begeistert.,I was totally thrilled by the film yesterday.,J'ai été totalement enthousiasmé par le film d'hier.,Ich,Accusative,Accusatif,,
67,4,Nach dem Training hat der Trainer _____ gelobt.,mich,Nach dem Training hat der Trainer mich gelobt.,"After training, the coach praised me.","Après l’entraînement, l’entraîneur m’a félicité.",Ich,Accusative,Accusatif,,
68,4,"Bitte ruf _____ an, wenn du angekommen bist.",mich,"Bitte ruf mich an, wenn du angekommen bist.",Please call me when you arrive.,"S'il vous plaît, appelez-moi quand vous arrivez.",Ich,Accusative,Accusatif,,
69,4,Heute habe ich _____ im Park gesehen.,dich,Heute habe ich dich im Park gesehen.,Today I saw you in the park. (Singular),Aujourd'hui je t'ai vu au parc. (Singulier),Du,Accusative,Accusatif,,
70,4,Kann ich _____ später anrufen?,dich,Kann ich dich später anrufen?,Can I call you later? (Singular),Puis-je t'appeler plus tard ? (Singulier),Du,Accusative,Accusatif,,
71,4,Der Lehrer hat _____ gestern gelobt.,dich,Der Lehrer hat dich gestern gelobt.,The teacher praised you yesterday. (Singular),Le professeur t'a félicité hier. (Singulier),Du,Accusative,Accusatif,,
72,4,Nach der Party habe ich _____ überall gesucht.,dich,Nach der Party habe ich dich überall gesucht.,"After the party, I looked for you everywhere. (Singular)","Après la fête, je t'ai cherché partout. (Singulier)",Du,Accusative,Accusatif,,
73,4,Der Hund hat _____ sofort erkannt.,dich,Der Hund hat dich sofort erkannt.,The dog recognized you immediately. (Singular),Le chien t'a reconnu immédiatement. (Singulier),Du,Accusative,Accusatif,,
74,4,Gestern habe ich _____ im Kino gesehen.,ihn,Gestern habe ich ihn im Kino gesehen.,I saw him in the cinema yesterday.,Je l'ai vu au cinéma hier.,Er,Accusative,Accusatif,,
75,4,Kannst du _____ später anrufen?,ihn,Kannst du ihn später anrufen?,Can you call him later?,Peux-tu l'appeler plus tard ?,Er,Accusative,Accusatif,,
76,4,Der Trainer hat _____ für die Mannschaft ausgewählt.,ihn,Der Trainer hat ihn für die Mannschaft ausgewählt.,The coach selected him for the team.,L'entraîneur l'a sélectionné pour l'équipe.,Er,Accusative,Accusatif,,
77,4,Nach dem Spiel habe ich _____ überall gesucht.,ihn,Nach dem Spiel habe ich ihn überall gesucht.,"After the game, I looked for him everywhere.","Après le match, je l'ai cherché partout.",Er,Accusative,Accusatif,,
78,4,Der Hund hat _____ sofort erkannt.,ihn,Der Hund hat ihn sofort erkannt.,The dog recognized him immediately.,Le chien l'a reconnu immédiatement.,Er,Accusative,Accusatif,,
79,4,Heute habe ich _____ im Park getroffen.,sie,Heute habe ich sie im Park getroffen.,Today I met her in the park.,Aujourd'hui je l'ai rencontrée dans le parc.,Sie (Singular),Accusative,Accusatif,,
80,4,Kannst du _____ später anrufen?,sie,Kannst du sie später anrufen?,Can you call her later?,Peux-tu l'appeler plus tard ?,Sie (Singular),Accusative,Accusatif,,
81,4,Der Lehrer hat _____ gestern gelobt.,sie,Der Lehrer hat sie gestern gelobt.,The teacher praised her yesterday.,Le professeur l'a félicitée hier.,Sie (Singular),Accusative,Accusatif,,
82,4,Nach der Party habe ich _____ gesucht.,sie,Nach der Party habe ich sie gesucht.,After the party I looked for her.,"Après la fête, je l'ai cherchée.",Sie (Singular),Accusative,Accusatif,,
83,4,Der Hund hat _____ sofort erkannt.,sie,Der Hund hat sie sofort erkannt.,The dog recognized her immediately.,Le chien l'a reconnue immédiatement.,Sie (Singular),Accusative,Accusatif,,
84,4,Gestern habe ich _____ im Wohnzimmer gesehen.,es,Gestern habe ich es im Wohnzimmer gesehen.,Yesterday I saw it in the living room.,Hier je l'ai vu dans le salon.,Es,Accusative,Accusatif,,
85,4,Kannst du _____ bitte auf den Tisch legen?,es,Kannst du es bitte auf den Tisch legen?,Can you please put it on the table?,"Peux-tu le mettre sur la table, s'il te plaît ?",Es,Accusative,Accusatif,,
86,4,Der Hund hat _____ sofort gefressen.,es,Der Hund hat es sofort gefressen.,The dog ate it immediately.,Le chien l'a mangé immédiatement.,Es,Accusative,Accusatif,,
87,4,Nach dem Spiel habe ich _____ zurückgebracht.,es,Nach dem Spiel habe ich es zurückgebracht.,After the game I returned it.,Après le match je l'ai rendu.,Es,Accusative,Accusatif,,
88,4,Der Lehrer hat _____ gestern erklärt.,es,Der Lehrer hat es gestern erklärt.,The teacher explained it yesterday.,Le professeur l'a expliqué hier.,Es,Accusative,Accusatif,,
89,4,Nach der Veranstaltung haben sie _____ eingeladen.,uns,Nach der Veranstaltung haben sie uns eingeladen.,They invited us after the event.,Ils nous ont invités après l'événement.,Uns,Accusative,Accusatif,,
90,4,Der Hund hat _____ sofort erkannt.,uns,Der Hund hat uns sofort erkannt.,The dog recognized us immediately.,Le chien nous a reconnu immédiatement.,Uns,Accusative,Accusatif,,
91,4,Morgen nimmt der Chef _____ in sein Büro mit.,uns,Morgen nimmt der Chef uns in sein Büro mit.,Tomorrow the boss will take us to his office.,"Demain, le patron nous emmènera à son bureau.",Uns,Accusative,Accusatif,,
92,4,"Wenn du _____ brauchst, ruf einfach an.",uns,"Wenn du uns brauchst, ruf einfach an.","If you need us, just call.","Si vous avez besoin de nous, appelez-nous.",Uns,Accusative,Accusatif,,
93,4,Ich habe _____ gestern in der Stadt getroffen.,uns,Ich habe uns gestern in der Stadt getroffen.,I met us in town yesterday.,Je nous ai rencontré en ville hier.,Uns,Accusative,Accusatif,,
94,4,Die Lehrerin hat _____ gestern gelobt.,euch,Die Lehrerin hat euch gestern gelobt.,The teacher praised you yesterday. (Plural),Le professeur t'a félicité hier. (Pluriel),Ihr,Accusative,Accusatif,,
95,4,Ich werde _____ morgen ins Kino einladen.,euch,Ich werde euch morgen ins Kino einladen.,I'll invite you to the cinema tomorrow. (Plural),Je t'invite au cinéma demain. (Pluriel),Ihr,Accusative,Accusatif,,
96,4,Der Hund hat _____ im Garten gesehen.,euch,Der Hund hat euch im Garten gesehen.,The dog saw you in the garden. (Plural),Le chien t'a vu dans le jardin. (Pluriel),Ihr,Accusative,Accusatif,,
97,4,Ich habe _____ beim Konzert sofort erkannt.,euch,Ich habe euch beim Konzert sofort erkannt.,I recognized you immediately at the concert. (Plural),Je t'ai reconnu immédiatement au concert. (Pluriel),Ihr,Accusative,Accusatif,,
98,4,Kann ich _____ später anrufen?,euch,Kann ich euch später anrufen?,Can I call you later? (Plural),Puis-je t'appeler plus tard ? (Pluriel),Ihr,Accusative,Accusatif,,
99,4,Ich habe _____ gestern im Park getroffen.,sie,Ich habe sie gestern im Park getroffen.,I met them in the park yesterday.,Je les ai rencontrés au parc hier.,Sie (Plural),Accusative,Accusatif,,
100,4,Kannst du _____ später anrufen?,sie,Kannst du sie später anrufen?,Can you call them later?,Peux-tu les appeler plus tard ?,Sie (Plural),Accusative,Accusatif,,
101,4,Der Hund hat _____ im Garten gesehen.,sie,Der Hund hat sie im Garten gesehen.,The dog saw them in the garden.,Le chien les a vus dans le jardin.,Sie (Plural),Accusative,Accusatif,,
102,4,Nach der Besprechung hat der Chef _____ eingeladen.,sie,Nach der Besprechung hat der Chef sie eingeladen.,"After the meeting, the boss invited them.","Après la réunion, le patron les a invités.",Sie (Plural),Accusative,Accusatif,,
103,4,Warum hat niemand _____ informiert?,sie,Warum hat niemand sie informiert?,Why didn't anyone inform them?,Pourquoi personne ne les a informés ?,Sie (Plural),Accusative,Accusatif,,
104,4,Kann ich _____ später anrufen?,Sie,Kann ich Sie später anrufen?,Can I call you later? (Formal),Puis-je vous appeler plus tard ? (Formel),Sie (Formell),Accusative,Accusatif,,
105,4,Der Chef möchte _____ morgen sprechen.,Sie,Der Chef möchte Sie morgen sprechen.,The boss wants to speak to you tomorrow. (Formal),Le patron veut vous parler demain. (Formel),Sie (Formell),Accusative,Accusatif,,
106,4,Ich habe _____ gestern im Büro gesehen.,Sie,Ich habe Sie gestern im Büro gesehen.,I saw you at the office yesterday. (Formal),Je t'ai vu au bureau hier. (Formel),Sie (Formell),Accusative,Accusatif,,
107,4,Der Hund hat _____ sofort erkannt.,Sie,Der Hund hat Sie sofort erkannt.,The dog recognized you immediately. (Formal),Le chien vous a reconnu immédiatement. (Formel),Sie (Formell),Accusative,Accusatif,,
108,4,Nach der Besprechung werden wir _____ informieren.,Sie,Nach der Besprechung werden wir Sie informieren.,We will inform you after the meeting. (Formal),Nous vous informerons après la réunion. (Formelle),Sie (Formell),Accusative,Accusatif,,
109,5,,Mir,,1st Person Singular,1ère Personne Singulier,,Dative,Datif,,
110,5,,Dir,,2nd Person Singular,2ème Personne Singulier,,Dative,Datif,,
111,5,,Ihm,,3rd Person Singular (Masculine),3ème Personne Singulier (Masculin),,Dative,Datif,,
112,5,,Ihr,,3rd Person Singular (Feminine),3ème Personne Singulier (Féminin),,Dative,Datif,,
113,5,,Ihm,,3rd Person Singular (Neuter),3ème Personne Singulier (Neutre),,Dative,Datif,,
114,5,,Uns,,1st Person Plural,1ère Personne Pluriel,,Dative,Datif,,
115,5,,Euch,,2nd Person Plural,2ème Personne Pluriel,,Dative,Datif,,
116,5,,Ihnen,,3rd Person Plural,3ème Personne Pluriel,,Dative,Datif,,
117,5,,Ihnen,,Formal (You),Formel (Vous),,Dative,Datif,,
118,6,Kannst du _____ bitte helfen?,mir,Kannst du mir bitte helfen?,Can you please help me?,Pouvez-vous m'aider s'il vous plaît ?,Ich,Dative,Datif,,
119,6,Der Lehrer hat _____ eine gute Note gegeben.,mir,Der Lehrer hat mir eine gute Note gegeben.,The teacher gave me a good grade.,Le professeur m'a donné une bonne note.,Ich,Dative,Datif,,
120,6,Das neue Buch gefällt _____ sehr gut.,mir,Das neue Buch gefällt mir sehr gut.,I really like the new book.,J'aime beaucoup le nouveau livre.,Ich,Dative,Datif,,
121,6,Nach dem Spiel hat er _____ seine Meinung gesagt.,mir,Nach dem Spiel hat er mir seine Meinung gesagt.,After the game he told me his opinion.,"Après le match, il m'a donné son avis.",Ich,Dative,Datif,,
122,6,"Der Hund folgt immer _____, wenn ich ihn rufe.",mir,"Der Hund folgt immer mir, wenn ich ihn rufe.",The dog always follows me when I call him.,Le chien me suit toujours quand je l'appelle.,Ich,Dative,Datif,,
123,6,Kann ich _____ später helfen?,dir,Kann ich dir später helfen?,Can I help you later? (Singular),Puis-je vous aider plus tard ? (Singulier),Du,Dative,Datif,,
124,6,Der Lehrer hat _____ eine Frage gestellt.,dir,Der Lehrer hat dir eine Frage gestellt.,The teacher asked you a question. (Singular),Le professeur t'a posé une question. (Singulier),Du,Dative,Datif,,
125,6,Das neue Lied gefällt _____?,dir,Das neue Lied gefällt dir?,Do you like the new song? (Singular),Aimes-tu la nouvelle chanson ? (Singulier),Du,Dative,Datif,,
126,6,Nach dem Spiel hat er _____ die Wahrheit gesagt.,dir,Nach dem Spiel hat er dir die Wahrheit gesagt.,After the game he told you the truth. (Singular),"Après le match, il t'a dit la vérité. (Singulier)",Du,Dative,Datif,,
127,6,"Der Hund folgt immer _____, wenn du ihn rufst.",dir,"Der Hund folgt immer dir, wenn du ihn rufst.",The dog always follows you when you call him. (Singular),Le chien vous suit toujours quand vous l'appelez. (Singulier),Du,Dative,Datif,,
128,6,Kannst du _____ später helfen?,ihm,Kannst du ihm später helfen?,Can you help him later?,Peux-tu l'aider plus tard ?,Er,Dative,Datif,,
129,6,Der Lehrer hat _____ eine schwierige Frage gestellt.,ihm,Der Lehrer hat ihm eine schwierige Frage gestellt.,The teacher asked him a difficult question.,Le professeur lui a posé une question difficile.,Er,Dative,Datif,,
130,6,Das neue Auto gefällt _____ sehr gut.,ihm,Das neue Auto gefällt ihm sehr gut.,He really likes the new car.,Il aime vraiment la nouvelle voiture.,Er,Dative,Datif,,
131,6,Nach dem Spiel hat der Trainer _____ ein Lob ausgesprochen.,ihm,Nach dem Spiel hat der Trainer ihm ein Lob ausgesprochen.,"After the game, the coach praised him.","Après le match, l'entraîneur l'a félicité.",Er,Dative,Datif,,
132,6,"Der Hund folgt immer _____, wenn er ruft.",ihm,"Der Hund folgt immer ihm, wenn er ruft.",The dog always follows him when he calls.,Le chien le suit toujours quand il l'appelle.,Er,Dative,Datif,,
133,6,Kannst du _____ morgen bei der Arbeit helfen?,ihr,Kannst du ihr morgen bei der Arbeit helfen?,Can you help her with her work tomorrow?,Peux-tu l'aider avec son travail demain ?,Sie (Singular),Dative,Datif,,
134,6,Der Lehrer hat _____ eine gute Note gegeben.,ihr,Der Lehrer hat ihr eine gute Note gegeben.,The teacher gave her a good grade.,Le professeur lui a donné une bonne note.,Sie (Singular),Dative,Datif,,
135,6,Das neue Kleid gefällt _____ sehr gut.,ihr,Das neue Kleid gefällt ihr sehr gut.,She really likes the new dress.,Elle aime vraiment la nouvelle robe.,Sie (Singular),Dative,Datif,,
136,6,Nach der Besprechung hat der Chef _____ einige Tipps gegeben.,ihr,Nach der Besprechung hat der Chef ihr einige Tipps gegeben.,"After the meeting, the boss gave her some tips.","Après la réunion, le patron lui a donné quelques conseils.",Sie (Singular),Dative,Datif,,
137,6,"Der Hund folgt immer _____, wenn sie ihn ruft.",ihr,"Der Hund folgt immer ihr, wenn sie ihn ruft.",The dog always follows her when she calls him.,Le chien la suit toujours quand elle l'appelle.,Sie (Singular),Dative,Datif,,
138,6,Kannst du _____ bei der Aufgabe helfen?,ihm,Kannst du ihm bei der Aufgabe helfen?,Can you help it with the task?,Pouvez-vous l'aider dans cette tâche ?,Es,Dative,Datif,,
139,6,Der Lehrer hat _____ eine interessante Frage gestellt.,ihm,Der Lehrer hat ihm eine interessante Frage gestellt.,The teacher asked it an interesting question.,Le professeur lui a posé une question intéressante.,Es,Dative,Datif,,
140,6,Das neue Spielzeug gefällt _____ sehr gut.,ihm,Das neue Spielzeug gefällt ihm sehr gut.,It really likes the new toy.,Il aime vraiment le nouveau jouet.,Es,Dative,Datif,,
141,6,Nach der Präsentation hat der Chef _____ ein Kompliment gemacht.,ihm,Nach der Präsentation hat der Chef ihm ein Kompliment gemacht.,"After the presentation, the boss complimented it.","Après la présentation, le patron l'a complimenté.",Es,Dative,Datif,,
142,6,"Der Hund folgt immer _____, wenn er ruft.",ihm,"Der Hund folgt immer ihm, wenn er ruft.",The dog always follows it when he calls.,Le chien le suit toujours quand il l'appelle.,Es,Dative,Datif,,
143,6,Kannst du _____ bei der Entscheidung helfen?,uns,Kannst du uns bei der Entscheidung helfen?,Can you help us decide?,Pouvez-vous nous aider à décider ?,Uns,Dative,Datif,,
144,6,Der Lehrer hat _____ die Regeln erklärt.,uns,Der Lehrer hat uns die Regeln erklärt.,The teacher explained the rules to us.,Le professeur nous a expliqué les règles.,Uns,Dative,Datif,,
145,6,Die Idee mit dem Ausflug gefällt _____ sehr gut.,uns,Die Idee mit dem Ausflug gefällt uns sehr gut.,We really like the idea of the trip.,Nous aimons beaucoup l’idée du voyage.,Uns,Dative,Datif,,
146,6,Nach dem Spiel hat der Trainer _____ einige Tipps gegeben.,uns,Nach dem Spiel hat der Trainer uns einige Tipps gegeben.,"After the game, the coach gave us some tips.","Après le match, l'entraîneur nous a donné quelques conseils.",Uns,Dative,Datif,,
147,6,"Der Hund folgt immer _____, wenn wir ihn rufen.",uns,"Der Hund folgt immer uns, wenn wir ihn rufen.",The dog always follows us when we call him.,Le chien nous suit toujours quand on l'appelle.,Uns,Dative,Datif,,
148,6,Kann ich _____ bei der Aufgabe helfen?,euch,Kann ich euch bei der Aufgabe helfen?,Can I help you with the task? (Plural),Puis-je vous aider avec la tâche ? (Pluriel),Ihr,Dative,Datif,,
149,6,Der Lehrer hat _____ die Regeln erklärt.,euch,Der Lehrer hat euch die Regeln erklärt.,The teacher explained the rules to you. (Plural),Le professeur vous a expliqué les règles. (Pluriel),Ihr,Dative,Datif,,
150,6,Der neue Film gefällt _____ sehr gut?,euch,Der neue Film gefällt euch sehr gut?,Do you really like the new film? (Plural),Aimez-vous vraiment le nouveau film ? (Pluriel),Ihr,Dative,Datif,,
