Nr,exercise,question,answer,german,english,person,case,gender
19,1,Am Wochenende besucht _____ oft ihre Freunde.,sie,Am Wochenende besucht sie oft ihre Freunde.,,She (Feminin),Nominativ,
20,1,Gestern hat _____ ein interessantes Buch gelesen.,sie,Gestern hat sie ein interessantes Buch gelesen.,,She (Feminin),Nominativ,
21,1,Heute ist _____ sehr kalt draußen.,es,Heute ist es sehr kalt draußen.,,It (neuter),Nominativ,
22,1,Im Wohnzimmer steht _____ auf dem Tisch.,es,Im Wohnzimmer steht es auf dem Tisch.,,It (neuter),Nominativ,
23,1,"_____ scheint, als ob es bald regnet.",Es,"Es scheint, als ob es bald regnet.",,It (neuter),Nominativ,
24,1,Auf dem Bild sieht _____ aus wie ein Gemälde.,es,Auf dem Bild sieht es aus wie ein Gemälde.,,It (neuter),Nominativ,
25,1,"Morgens dauert _____ immer eine Weile, bis die Sonne aufgeht.",es,"Morgens dauert es immer eine Weile, bis die Sonne aufgeht.",,It (neuter),Nominativ,
26,1,Heute treffen _____ uns im Park.,wir,Heute treffen wir uns im Park.,,We,Nominativ,
27,1,Nach dem Frühstück planen _____ unsere Wanderung.,wir,Nach dem Frühstück planen wir unsere Wanderung.,,We,Nominativ,
28,1,"_____ hoffen, dass das Wetter morgen schön wird.",Wir,"Wir hoffen, dass das Wetter morgen schön wird.",,We,Nominativ,
29,1,Am Wochenende spielen _____ oft zusammen Fußball.,wir,Am Wochenende spielen wir oft zusammen Fußball.,,We,Nominativ,
30,1,Gestern haben _____ einen Ausflug ins Museum gemacht.,wir,Gestern haben wir einen Ausflug ins Museum gemacht.,,We,Nominativ,
31,1,Im Park habt _____ gestern ein Picknick gemacht.,ihr,Im Park habt ihr gestern ein Picknick gemacht.,,You (Plural),Nominativ,
32,1,"Heute Abend geht _____ ins Theater, oder?",ihr,"Heute Abend geht ihr ins Theater, oder?",,You (Plural),Nominativ,
33,1,_____ könnt mir später bei der Aufgabe helfen.,Ihr,Ihr könnt mir später bei der Aufgabe helfen.,,You (Plural),Nominativ,
34,1,Nach dem Frühstück plant _____ den Tagesausflug.,ihr,Nach dem Frühstück plant ihr den Tagesausflug.,,You (Plural),Nominativ,
35,1,Morgen trefft _____ euch mit Freunden im Café.,ihr,Morgen trefft ihr euch mit Freunden im Café.,,You (Plural),Nominativ,
36,1,Im Urlaub reisen _____ oft in exotische Länder.,sie,Im Urlaub reisen sie oft in exotische Länder.,,They,Nominativ,
37,1,Heute Abend feiern _____ eine große Party.,sie,Heute Abend feiern sie eine große Party.,,They,Nominativ,
38,1,_____ haben gestern einen interessanten Vortrag besucht.,Sie,Sie haben gestern einen interessanten Vortrag besucht.,,They,Nominativ,
39,1,Beim Fußballspiel haben _____ viele Tore geschossen.,sie,Beim Fußballspiel haben sie viele Tore geschossen.,,They,Nominativ,
40,1,Nach der Arbeit treffen _____ sich manchmal im Park.,sie,Nach der Arbeit treffen sie sich manchmal im Park.,,They,Nominativ,
41,1,Im Hotel bekommen _____ das beste Zimmer.,Sie,Im Hotel bekommen Sie das beste Zimmer.,,You (Formal),Nominativ,
42,1,Heute Abend besuchen _____ eine Aufführung im Theater.,Sie,Heute Abend besuchen Sie eine Aufführung im Theater.,,You (Formal),Nominativ,
43,1,"_____ können uns jederzeit anrufen, wenn Sie Hilfe brauchen.",Sie,"Sie können uns jederzeit anrufen, wenn Sie Hilfe brauchen.",,You (Formal),Nominativ,
44,1,Beim Meeting haben _____ viele gute Ideen eingebracht.,Sie,Beim Meeting haben Sie viele gute Ideen eingebracht.,,You (Formal),Nominativ,
45,1,Nach der Besprechung schicken _____ uns die Unterlagen.,Sie,Nach der Besprechung schicken Sie uns die Unterlagen.,,You (Formal),Nominativ,
46,2,Kannst du _____ morgen im Büro anrufen?,mich,Kannst du mich morgen im Büro anrufen?,,Ich,Akkusativ,
47,2,Heute hat niemand _____ besucht.,mich,Heute hat niemand mich besucht.,,Ich,Akkusativ,
48,2,_____ hat der Film gestern total begeistert.,Mich,Mich hat der Film gestern total begeistert.,,Ich,Akkusativ,
49,2,Nach dem Training hat der Trainer _____ gelobt.,mich,Nach dem Training hat der Trainer mich gelobt.,,Ich,Akkusativ,
50,2,"Bitte ruf _____ an, wenn du angekommen bist.",mich,"Bitte ruf mich an, wenn du angekommen bist.",,Ich,Akkusativ,
51,2,Heute habe ich _____ im Park gesehen.,dich,Heute habe ich dich im Park gesehen.,,Du,Akkusativ,
52,2,Kann ich _____ später anrufen?,dich,Kann ich dich später anrufen?,,Du,Akkusativ,
53,2,_____ hat der Lehrer gestern gelobt.,Dich,Dich hat der Lehrer gestern gelobt.,,Du,Akkusativ,
54,2,Nach der Party habe ich _____ überall gesucht.,dich,Nach der Party habe ich dich überall gesucht.,,Du,Akkusativ,
55,2,Der Hund hat _____ sofort erkannt.,dich,Der Hund hat dich sofort erkannt.,,Du,Akkusativ,
56,2,Gestern habe ich _____ im Kino gesehen.,ihn,Gestern habe ich ihn im Kino gesehen.,,Er,Akkusativ,
57,2,Kannst du _____ später anrufen?,ihn,Kannst du ihn später anrufen?,,Er,Akkusativ,
58,2,_____ hat der Trainer für die Mannschaft ausgewählt.,Ihn,Ihn hat der Trainer für die Mannschaft ausgewählt.,,Er,Akkusativ,
59,2,Nach dem Spiel habe ich _____ überall gesucht.,ihn,Nach dem Spiel habe ich ihn überall gesucht.,,Er,Akkusativ,
60,2,Der Hund hat _____ sofort erkannt.,ihn,Der Hund hat ihn sofort erkannt.,,Er,Akkusativ,
61,2,Heute habe ich _____ im Park getroffen.,sie,Heute habe ich sie im Park getroffen.,,Sie - Fem.,Akkusativ,
62,2,Kannst du _____ später anrufen?,sie,Kannst du sie später anrufen?,,Sie - Fem.,Akkusativ,
63,2,Der Lehrer hat _____ gestern gelobt.,sie,Der Lehrer hat sie gestern gelobt.,,Sie - Fem.,Akkusativ,
64,2,Nach der Party habe ich _____ gesucht.,sie,Nach der Party habe ich sie gesucht.,,Sie - Fem.,Akkusativ,
65,2,Der Hund hat _____ sofort erkannt.,sie,Der Hund hat sie sofort erkannt.,,Sie - Fem.,Akkusativ,
66,2,Gestern habe ich _____ im Wohnzimmer gesehen.,es,Gestern habe ich es im Wohnzimmer gesehen.,,Es,Akkusativ,
67,2,Kannst du _____ bitte auf den Tisch legen?,es,Kannst du es bitte auf den Tisch legen?,,Es,Akkusativ,
68,2,Der Hund hat _____ sofort gefressen.,es,Der Hund hat es sofort gefressen.,,Es,Akkusativ,
69,2,Nach dem Spiel habe ich _____ zurückgebracht.,es,Nach dem Spiel habe ich es zurückgebracht.,,Es,Akkusativ,
70,2,Der Lehrer hat _____ gestern erklärt.,es,Der Lehrer hat es gestern erklärt.,,Es,Akkusativ,
71,2,Nach der Veranstaltung haben sie _____ eingeladen.,uns,Nach der Veranstaltung haben sie uns eingeladen.,,Wir,Akkusativ,
72,2,Der Hund hat _____ sofort erkannt.,uns,Der Hund hat uns sofort erkannt.,,Wir,Akkusativ,
73,2,Morgen nimmt der Chef _____ in sein Büro mit.,uns,Morgen nimmt der Chef uns in sein Büro mit.,,Wir,Akkusativ,
74,2,"Wenn du _____ brauchst, ruf einfach an.",uns,"Wenn du uns brauchst, ruf einfach an.",,Wir,Akkusativ,
75,2,Ich habe _____ gestern in der Stadt getroffen.,uns,Ich habe uns gestern in der Stadt getroffen.,,Wir,Akkusativ,
76,2,Die Lehrerin hat _____ gestern gelobt.,euch,Die Lehrerin hat euch gestern gelobt.,,Ihr,Akkusativ,
77,2,Ich werde _____ morgen ins Kino einladen.,euch,Ich werde euch morgen ins Kino einladen.,,Ihr,Akkusativ,
78,2,Der Hund hat _____ im Garten gesehen.,euch,Der Hund hat euch im Garten gesehen.,,Ihr,Akkusativ,
79,2,Ich habe _____ beim Konzert sofort erkannt.,euch,Ich habe euch beim Konzert sofort erkannt.,,Ihr,Akkusativ,
80,2,Kann ich _____ später anrufen?,euch,Kann ich euch später anrufen?,,Ihr,Akkusativ,
81,2,Ich habe _____ gestern im Park getroffen.,sie,Ich habe sie gestern im Park getroffen.,,Sie - Plu.,Akkusativ,
82,2,Kannst du _____ später anrufen?,sie,Kannst du sie später anrufen?,,Sie - Plu.,Akkusativ,
83,2,Der Hund hat _____ im Garten gesehen.,sie,Der Hund hat sie im Garten gesehen.,,Sie - Plu.,Akkusativ,
84,2,Nach der Besprechung hat der Chef _____ eingeladen.,sie,Nach der Besprechung hat der Chef sie eingeladen.,,Sie - Plu.,Akkusativ,
85,2,Warum hat niemand _____ informiert?,sie,Warum hat niemand sie informiert?,,Sie - Plu.,Akkusativ,
86,2,Kann ich _____ später anrufen?,Sie,Kann ich Sie später anrufen?,,Sie - Form.,Akkusativ,
87,2,Der Chef möchte _____ morgen sprechen.,Sie,Der Chef möchte Sie morgen sprechen.,,Sie - Form.,Akkusativ,
88,2,Ich habe _____ gestern im Büro gesehen.,Sie,Ich habe Sie gestern im Büro gesehen.,,Sie - Form.,Akkusativ,
89,2,Der Hund hat _____ sofort erkannt.,Sie,Der Hund hat Sie sofort erkannt.,,Sie - Form.,Akkusativ,
90,2,Nach der Besprechung werden wir _____ informieren.,Sie,Nach der Besprechung werden wir Sie informieren.,,Sie - Form.,Akkusativ,
91,3,Kannst du _____ bitte helfen?,mir,Kannst du mir bitte helfen?,,Ich,Dativ,
92,3,Der Lehrer hat _____ eine gute Note gegeben.,mir,Der Lehrer hat mir eine gute Note gegeben.,,Ich,Dativ,
93,3,_____ gefällt das neue Buch sehr gut.,Mir,Mir gefällt das neue Buch sehr gut.,,Ich,Dativ,
94,3,Nach dem Spiel hat er _____ seine Meinung gesagt.,mir,Nach dem Spiel hat er mir seine Meinung gesagt.,,Ich,Dativ,
95,3,"Der Hund folgt immer _____, wenn ich ihn rufe.",mir,"Der Hund folgt immer mir, wenn ich ihn rufe.",,Ich,Dativ,
96,3,Kann ich _____ später helfen?,dir,Kann ich dir später helfen?,,Du,Dativ,
97,3,Der Lehrer hat _____ eine Frage gestellt.,dir,Der Lehrer hat dir eine Frage gestellt.,,Du,Dativ,
98,3,_____ gefällt das neue Lied?,Dir,Dir gefällt das neue Lied?,,Du,Dativ,
99,3,Nach dem Spiel hat er _____ die Wahrheit gesagt.,dir,Nach dem Spiel hat er dir die Wahrheit gesagt.,,Du,Dativ,
100,3,"Der Hund folgt immer _____, wenn du ihn rufst.",dir,"Der Hund folgt immer dir, wenn du ihn rufst.",,Du,Dativ,
101,3,Kannst du _____ später helfen?,ihm,Kannst du ihm später helfen?,,Er,Dativ,
102,3,Der Lehrer hat _____ eine schwierige Frage gestellt.,ihm,Der Lehrer hat ihm eine schwierige Frage gestellt.,,Er,Dativ,
103,3,_____ gefällt das neue Auto sehr gut.,Ihm,Ihm gefällt das neue Auto sehr gut.,,Er,Dativ,
104,3,Nach dem Spiel hat der Trainer _____ ein Lob ausgesprochen.,ihm,Nach dem Spiel hat der Trainer ihm ein Lob ausgesprochen.,,Er,Dativ,
105,3,"Der Hund folgt immer _____, wenn er ruft.",ihm,"Der Hund folgt immer ihm, wenn er ruft.",,Er,Dativ,
106,3,Kannst du _____ morgen bei der Arbeit helfen?,ihr,Kannst du ihr morgen bei der Arbeit helfen?,,Sie - Fem.,Dativ,
107,3,Der Lehrer hat _____ eine gute Note gegeben.,ihr,Der Lehrer hat ihr eine gute Note gegeben.,,Sie - Fem.,Dativ,
108,3,_____ gefällt das neue Kleid sehr gut.,Ihr,Ihr gefällt das neue Kleid sehr gut.,,Sie - Fem.,Dativ,
109,3,Nach der Besprechung hat der Chef _____ einige Tipps gegeben.,ihr,Nach der Besprechung hat der Chef ihr einige Tipps gegeben.,,Sie - Fem.,Dativ,
110,3,"Der Hund folgt immer _____, wenn sie ihn ruft.",ihr,"Der Hund folgt immer ihr, wenn sie ihn ruft.",,Sie - Fem.,Dativ,
111,3,Kannst du _____ bei der Aufgabe helfen?,ihm,Kannst du ihm bei der Aufgabe helfen?,,Es,Dativ,
112,3,Der Lehrer hat _____ eine interessante Frage gestellt.,ihm,Der Lehrer hat ihm eine interessante Frage gestellt.,,Es,Dativ,
113,3,_____ gefällt das neue Spielzeug sehr gut.,Ihm,Ihm gefällt das neue Spielzeug sehr gut.,,Es,Dativ,
114,3,Nach der Präsentation hat der Chef _____ ein Kompliment gemacht.,ihm,Nach der Präsentation hat der Chef ihm ein Kompliment gemacht.,,Es,Dativ,
115,3,"Der Hund folgt immer _____, wenn es ihn ruft.",ihm,"Der Hund folgt immer ihm, wenn es ihn ruft.",,Es,Dativ,
116,3,Kannst du _____ bei der Entscheidung helfen?,uns,Kannst du uns bei der Entscheidung helfen?,,Wir,Dativ,
117,3,Der Lehrer hat _____ die Regeln erklärt.,uns,Der Lehrer hat uns die Regeln erklärt.,,Wir,Dativ,
118,3,_____ gefällt die Idee mit dem Ausflug sehr gut.,Uns,Uns gefällt die Idee mit dem Ausflug sehr gut.,,Wir,Dativ,
119,3,Nach dem Spiel hat der Trainer _____ einige Tipps gegeben.,uns,Nach dem Spiel hat der Trainer uns einige Tipps gegeben.,,Wir,Dativ,
120,3,"Der Hund folgt immer _____, wenn wir ihn rufen.",uns,"Der Hund folgt immer uns, wenn wir ihn rufen.",,Wir,Dativ,
121,3,Kann ich _____ bei der Aufgabe helfen?,euch,Kann ich euch bei der Aufgabe helfen?,,Ihr,Dativ,
122,3,Der Lehrer hat _____ die Regeln erklärt.,euch,Der Lehrer hat euch die Regeln erklärt.,,Ihr,Dativ,
123,3,_____ gefällt der neue Film sehr gut?,Euch,Euch gefällt der neue Film sehr gut?,,Ihr,Dativ,
124,3,Nach dem Spiel hat der Trainer _____ ein Lob ausgesprochen.,euch,Nach dem Spiel hat der Trainer euch ein Lob ausgesprochen.,,Ihr,Dativ,
125,3,"Der Hund folgt immer _____, wenn ihr ihn ruft.",euch,"Der Hund folgt immer euch, wenn ihr ihn ruft.",,Ihr,Dativ,
126,3,Kann ich _____ bei der Organisation helfen?,ihnen,Kann ich ihnen bei der Organisation helfen?,,Sie - Plu.,Dativ,
127,3,Der Lehrer hat _____ die neuen Regeln erklärt.,ihnen,Der Lehrer hat ihnen die neuen Regeln erklärt.,,Sie - Plu.,Dativ,
128,3,_____ gefällt die Idee mit dem Ausflug sehr gut.,Ihnen,Ihnen gefällt die Idee mit dem Ausflug sehr gut.,,Sie - Plu.,Dativ,
129,3,Nach dem Spiel hat der Trainer _____ hilfreiche Tipps gegeben.,ihnen,Nach dem Spiel hat der Trainer ihnen hilfreiche Tipps gegeben.,,Sie - Plu.,Dativ,
130,3,"Der Hund folgt immer _____, wenn sie ihn rufen.",ihnen,"Der Hund folgt immer ihnen, wenn sie ihn rufen.",,Sie - Plu.,Dativ,
131,3,Kann ich _____ bei der Planung helfen?,Ihnen,Kann ich Ihnen bei der Planung helfen?,,Sie - Form.,Dativ,
132,3,Der Lehrer hat _____ die neuen Informationen erklärt.,Ihnen,Der Lehrer hat Ihnen die neuen Informationen erklärt.,,Sie - Form.,Dativ,
133,3,_____ gefällt die Idee mit der neuen Strategie?,Ihnen,Ihnen gefällt die Idee mit der neuen Strategie?,,Sie - Form.,Dativ,
134,3,Nach dem Meeting hat der Chef _____ ein Kompliment gemacht.,Ihnen,Nach dem Meeting hat der Chef Ihnen ein Kompliment gemacht.,,Sie - Form.,Dativ,
135,3,"Der Hund folgt immer _____, wenn Sie ihn rufen.",Ihnen,"Der Hund folgt immer Ihnen, wenn Sie ihn rufen.",,Sie - Form.,Dativ,
136,4,Kannst du _____ morgen im Büro anrufen?,mich,Kannst du mich morgen im Büro anrufen?,,Ich,Akkusativ,
137,4,Heute hat niemand _____ besucht.,mich,Heute hat niemand mich besucht.,,Ich,Akkusativ,
138,4,_____ hat der Film gestern total begeistert.,Mich,Mich hat der Film gestern total begeistert.,,Ich,Akkusativ,
139,4,Nach dem Training hat der Trainer _____ gelobt.,mich,Nach dem Training hat der Trainer mich gelobt.,,Ich,Akkusativ,
140,4,"Bitte ruf _____ an, wenn du angekommen bist.",mich,"Bitte ruf mich an, wenn du angekommen bist.",,Ich,Akkusativ,
141,4,Heute habe ich _____ im Park gesehen.,dich,Heute habe ich dich im Park gesehen.,,Du,Akkusativ,
142,4,Kann ich _____ später anrufen?,dich,Kann ich dich später anrufen?,,Du,Akkusativ,
143,4,_____ hat der Lehrer gestern gelobt.,Dich,Dich hat der Lehrer gestern gelobt.,,Du,Akkusativ,
144,4,Nach der Party habe ich _____ überall gesucht.,dich,Nach der Party habe ich dich überall gesucht.,,Du,Akkusativ,
145,4,Der Hund hat _____ sofort erkannt.,dich,Der Hund hat dich sofort erkannt.,,Du,Akkusativ,
146,4,Gestern habe ich _____ im Kino gesehen.,ihn,Gestern habe ich ihn im Kino gesehen.,,Er,Akkusativ,
147,4,Kannst du _____ später anrufen?,ihn,Kannst du ihn später anrufen?,,Er,Akkusativ,
148,4,_____ hat der Trainer für die Mannschaft ausgewählt.,Ihn,Ihn hat der Trainer für die Mannschaft ausgewählt.,,Er,Akkusativ,
149,4,Nach dem Spiel habe ich _____ überall gesucht.,ihn,Nach dem Spiel habe ich ihn überall gesucht.,,Er,Akkusativ,
150,4,Der Hund hat _____ sofort erkannt.,ihn,Der Hund hat ihn sofort erkannt.,,Er,Akkusativ,
151,4,Heute habe ich _____ im Park getroffen.,sie,Heute habe ich sie im Park getroffen.,,Sie - Fem.,Akkusativ,
152,4,Kannst du _____ später anrufen?,sie,Kannst du sie später anrufen?,,Sie - Fem.,Akkusativ,
153,4,Der Lehrer hat _____ gestern gelobt.,sie,Der Lehrer hat sie gestern gelobt.,,Sie - Fem.,Akkusativ,
154,4,Nach der Party habe ich _____ gesucht.,sie,Nach der Party habe ich sie gesucht.,,Sie - Fem.,Akkusativ,
155,4,Der Hund hat _____ sofort erkannt.,sie,Der Hund hat sie sofort erkannt.,,Sie - Fem.,Akkusativ,
156,4,Gestern habe ich _____ im Wohnzimmer gesehen.,es,Gestern habe ich es im Wohnzimmer gesehen.,,Es,Akkusativ,
157,4,Kannst du _____ bitte auf den Tisch legen?,es,Kannst du es bitte auf den Tisch legen?,,Es,Akkusativ,
158,4,Der Hund hat _____ sofort gefressen.,es,Der Hund hat es sofort gefressen.,,Es,Akkusativ,
159,4,Nach dem Spiel habe ich _____ zurückgebracht.,es,Nach dem Spiel habe ich es zurückgebracht.,,Es,Akkusativ,
160,4,Der Lehrer hat _____ gestern erklärt.,es,Der Lehrer hat es gestern erklärt.,,Es,Akkusativ,
161,4,Nach der Veranstaltung haben sie _____ eingeladen.,uns,Nach der Veranstaltung haben sie uns eingeladen.,,Wir,Akkusativ,
162,4,Der Hund hat _____ sofort erkannt.,uns,Der Hund hat uns sofort erkannt.,,Wir,Akkusativ,
163,4,Morgen nimmt der Chef _____ in sein Büro mit.,uns,Morgen nimmt der Chef uns in sein Büro mit.,,Wir,Akkusativ,
164,4,"Wenn du _____ brauchst, ruf einfach an.",uns,"Wenn du uns brauchst, ruf einfach an.",,Wir,Akkusativ,
165,4,Ich habe _____ gestern in der Stadt getroffen.,uns,Ich habe uns gestern in der Stadt getroffen.,,Wir,Akkusativ,
166,4,Die Lehrerin hat _____ gestern gelobt.,euch,Die Lehrerin hat euch gestern gelobt.,,Ihr,Akkusativ,
167,4,Ich werde _____ morgen ins Kino einladen.,euch,Ich werde euch morgen ins Kino einladen.,,Ihr,Akkusativ,
168,4,Der Hund hat _____ im Garten gesehen.,euch,Der Hund hat euch im Garten gesehen.,,Ihr,Akkusativ,
169,4,Ich habe _____ beim Konzert sofort erkannt.,euch,Ich habe euch beim Konzert sofort erkannt.,,Ihr,Akkusativ,
170,4,Kann ich _____ später anrufen?,euch,Kann ich euch später anrufen?,,Ihr,Akkusativ,
171,4,Ich habe _____ gestern im Park getroffen.,sie,Ich habe sie gestern im Park getroffen.,,Sie - Plu.,Akkusativ,
172,4,Kannst du _____ später anrufen?,sie,Kannst du sie später anrufen?,,Sie - Plu.,Akkusativ,
173,4,Der Hund hat _____ im Garten gesehen.,sie,Der Hund hat sie im Garten gesehen.,,Sie - Plu.,Akkusativ,
174,4,Nach der Besprechung hat der Chef _____ eingeladen.,sie,Nach der Besprechung hat der Chef sie eingeladen.,,Sie - Plu.,Akkusativ,
175,4,Warum hat niemand _____ informiert?,sie,Warum hat niemand sie informiert?,,Sie - Plu.,Akkusativ,
176,4,Kann ich _____ später anrufen?,Sie,Kann ich Sie später anrufen?,,Sie - Form.,Akkusativ,
177,4,Der Chef möchte _____ morgen sprechen.,Sie,Der Chef möchte Sie morgen sprechen.,,Sie - Form.,Akkusativ,
178,4,Ich habe _____ gestern im Büro gesehen.,Sie,Ich habe Sie gestern im Büro gesehen.,,Sie - Form.,Akkusativ,
179,4,Der Hund hat _____ sofort erkannt.,Sie,Der Hund hat Sie sofort erkannt.,,Sie - Form.,Akkusativ,
180,4,Nach der Besprechung werden wir _____ informieren.,Sie,Nach der Besprechung werden wir Sie informieren.,,Sie - Form.,Akkusativ,
181,4,Kannst du _____ bitte helfen?,mir,Kannst du mir bitte helfen?,,Ich,Dativ,
182,4,Der Lehrer hat _____ eine gute Note gegeben.,mir,Der Lehrer hat mir eine gute Note gegeben.,,Ich,Dativ,
183,4,_____ gefällt das neue Buch sehr gut.,Mir,Mir gefällt das neue Buch sehr gut.,,Ich,Dativ,
184,4,Nach dem Spiel hat er _____ seine Meinung gesagt.,mir,Nach dem Spiel hat er mir seine Meinung gesagt.,,Ich,Dativ,
185,4,"Der Hund folgt immer _____, wenn ich ihn rufe.",mir,"Der Hund folgt immer mir, wenn ich ihn rufe.",,Ich,Dativ,
186,4,Kann ich _____ später helfen?,dir,Kann ich dir später helfen?,,Du,Dativ,
187,4,Der Lehrer hat _____ eine Frage gestellt.,dir,Der Lehrer hat dir eine Frage gestellt.,,Du,Dativ,
188,4,_____ gefällt das neue Lied?,Dir,Dir gefällt das neue Lied?,,Du,Dativ,
189,4,Nach dem Spiel hat er _____ die Wahrheit gesagt.,dir,Nach dem Spiel hat er dir die Wahrheit gesagt.,,Du,Dativ,
190,4,"Der Hund folgt immer _____, wenn du ihn rufst.",dir,"Der Hund folgt immer dir, wenn du ihn rufst.",,Du,Dativ,
191,4,Kannst du _____ später helfen?,ihm,Kannst du ihm später helfen?,,Er,Dativ,
192,4,Der Lehrer hat _____ eine schwierige Frage gestellt.,ihm,Der Lehrer hat ihm eine schwierige Frage gestellt.,,Er,Dativ,
193,4,_____ gefällt das neue Auto sehr gut.,Ihm,Ihm gefällt das neue Auto sehr gut.,,Er,Dativ,
194,4,Nach dem Spiel hat der Trainer _____ ein Lob ausgesprochen.,ihm,Nach dem Spiel hat der Trainer ihm ein Lob ausgesprochen.,,Er,Dativ,
195,4,"Der Hund folgt immer _____, wenn er ruft.",ihm,"Der Hund folgt immer ihm, wenn er ruft.",,Er,Dativ,
196,4,Kannst du _____ morgen bei der Arbeit helfen?,ihr,Kannst du ihr morgen bei der Arbeit helfen?,,Sie - Fem.,Dativ,
197,4,Der Lehrer hat _____ eine gute Note gegeben.,ihr,Der Lehrer hat ihr eine gute Note gegeben.,,Sie - Fem.,Dativ,
198,4,_____ gefällt das neue Kleid sehr gut.,Ihr,Ihr gefällt das neue Kleid sehr gut.,,Sie - Fem.,Dativ,
199,4,Nach der Besprechung hat der Chef _____ einige Tipps gegeben.,ihr,Nach der Besprechung hat der Chef ihr einige Tipps gegeben.,,Sie - Fem.,Dativ,
200,4,"Der Hund folgt immer _____, wenn sie ihn ruft.",ihr,"Der Hund folgt immer ihr, wenn sie ihn ruft.",,Sie - Fem.,Dativ,
201,4,Kannst du _____ bei der Aufgabe helfen?,ihm,Kannst du ihm bei der Aufgabe helfen?,,Es,Dativ,
202,4,Der Lehrer hat _____ eine interessante Frage gestellt.,ihm,Der Lehrer hat ihm eine interessante Frage gestellt.,,Es,Dativ,
203,4,_____ gefällt das neue Spielzeug sehr gut.,Ihm,Ihm gefällt das neue Spielzeug sehr gut.,,Es,Dativ,
204,4,Nach der Präsentation hat der Chef _____ ein Kompliment gemacht.,ihm,Nach der Präsentation hat der Chef ihm ein Kompliment gemacht.,,Es,Dativ,
205,4,"Der Hund folgt immer _____, wenn es ihn ruft.",ihm,"Der Hund folgt immer ihm, wenn es ihn ruft.",,Es,Dativ,
206,4,Kannst du _____ bei der Entscheidung helfen?,uns,Kannst du uns bei der Entscheidung helfen?,,Wir,Dativ,
207,4,Der Lehrer hat _____ die Regeln erklärt.,uns,Der Lehrer hat uns die Regeln erklärt.,,Wir,Dativ,
208,4,_____ gefällt die Idee mit dem Ausflug sehr gut.,Uns,Uns gefällt die Idee mit dem Ausflug sehr gut.,,Wir,Dativ,
209,4,Nach dem Spiel hat der Trainer _____ einige Tipps gegeben.,uns,Nach dem Spiel hat der Trainer uns einige Tipps gegeben.,,Wir,Dativ,
210,4,"Der Hund folgt immer _____, wenn wir ihn rufen.",uns,"Der Hund folgt immer uns, wenn wir ihn rufen.",,Wir,Dativ,
211,4,Kann ich _____ bei der Aufgabe helfen?,euch,Kann ich euch bei der Aufgabe helfen?,,Ihr,Dativ,
212,4,Der Lehrer hat _____ die Regeln erklärt.,euch,Der Lehrer hat euch die Regeln erklärt.,,Ihr,Dativ,
213,4,_____ gefällt der neue Film sehr gut?,Euch,Euch gefällt der neue Film sehr gut?,,Ihr,Dativ,
214,4,Nach dem Spiel hat der Trainer _____ ein Lob ausgesprochen.,euch,Nach dem Spiel hat der Trainer euch ein Lob ausgesprochen.,,Ihr,Dativ,
