Nr,exercise,question,answer,german,english,french,case_english,case_french,gender_english,gender_french,person
51,2,_____ Orangen sind frisch.,Die,Die Orangen sind frisch.,The oranges are fresh.,Les oranges sont fraîches.,Nominative,Nominatif,Plural,Pluriel,
52,2,_____ Tische sind aus Holz.,Die,Die Tische sind aus Holz.,The tables are of wood.,Les tables sont en bois.,Nominative,Nominatif,Plural,Pluriel,
53,3,Wir besuchen _____ Schule jeden Tag.,die,Wir besuchen die Schule jeden Tag.,We visit the school every day.,Nous visitons l'école tous les jours.,Accusative,Accusatif,Feminine,Féminin,
54,3,Ich plane _____ Woche im Voraus.,die,Ich plane die Woche im Voraus.,I plan the week in advance.,Je planifie la semaine à l'avance.,Accusative,Accusatif,Feminine,Féminin,
55,3,Wir besuchen _____ Mutter am Wochenende.,die,Wir besuchen die Mutter am Wochenende.,We visit the mother on the weekend.,Nous rendons visite à la mère le week-end.,Accusative,Accusatif,Feminine,Féminin,
56,3,Ich kenne _____ Person nicht.,die,Ich kenne die Person nicht.,I don't know the person.,Je ne connais pas la personne.,Accusative,Accusatif,Feminine,Féminin,
57,3,Sie verbringt _____ Nacht im Hotel.,die,Sie verbringt die Nacht im Hotel.,She spends the night in a hotel.,Elle passe la nuit dans un hôtel.,Accusative,Accusatif,Feminine,Féminin,
58,3,Ich sehe _____ Katze.,die,Ich sehe die Katze.,I see the cat.,Je vois le chat.,Accusative,Accusatif,Feminine,Féminin,
59,3,Wir lernen _____ Sprache in der Schule.,die,Wir lernen die Sprache in der Schule.,We learn the language at school.,Nous apprenons la langue à l'école.,Accusative,Accusatif,Feminine,Féminin,
60,3,Wir mieten _____ Wohnung.,die,Wir mieten die Wohnung.,We rent the apartment.,Nous louons l'appartement.,Accusative,Accusatif,Feminine,Féminin,
61,3,Er liebt _____ Tochter sehr.,die,Er liebt die Tochter sehr.,He loves the daughter very much.,Il aime beaucoup sa fille.,Accusative,Accusatif,Feminine,Féminin,
62,3,Er beantwortet _____ Frage richtig.,die,Er beantwortet die Frage richtig.,He answers the question correctly.,Il répond correctement à la question.,Accusative,Accusatif,Feminine,Féminin,
63,3,Sie ruft _____ Vater an.,den,Sie ruft den Vater an.,She calls the father.,Elle appelle le père.,Accusative,Accusatif,Masculine,Masculin,
64,3,Ich kenne _____ Namen nicht.,den,Ich kenne den Namen nicht.,I don't know the name.,Je ne connais pas le nom.,Accusative,Accusatif,Masculine,Masculin,
65,3,Er hält _____ Kopf hoch.,den,Er hält den Kopf hoch.,He holds his head high.,Il garde la tête haute.,Accusative,Accusatif,Masculine,Masculin,
66,3,Wir feiern _____ Monat der Liebe.,den,Wir feiern den Monat der Liebe.,We celebrate the month of love.,Nous célébrons le mois de l'amour.,Accusative,Accusatif,Masculine,Masculin,
67,3,Ich genieße _____ Morgen mit Kaffee.,den,Ich genieße den Morgen mit Kaffee.,I enjoy the morning with coffee.,J'apprécie la matinée avec un café.,Accusative,Accusatif,Masculine,Masculin,
68,3,Wir verbringen _____ Abend zusammen.,den,Wir verbringen den Abend zusammen.,We spend the evening together.,Nous passons la soirée ensemble.,Accusative,Accusatif,Masculine,Masculin,
69,3,Er kennt _____ Staat gut.,den,Er kennt den Staat gut.,He knows the state well.,Il connaît bien l’État.,Accusative,Accusatif,Masculine,Masculin,
70,3,Der Bus bringt _____ Schüler zur Schule.,den,Der Bus bringt den Schüler zur Schule.,The bus brings the student to school.,Le bus amène l'élève à l'école.,Accusative,Accusatif,Masculine,Masculin,
71,3,Ich sehe _____ Lehrer in der Schule.,den,Ich sehe den Lehrer in der Schule.,I see the teacher at school.,Je vois le professeur à l'école.,Accusative,Accusatif,Masculine,Masculin,
72,3,Sie sieht _____ Sohn im Garten.,den,Sie sieht den Sohn im Garten.,She sees the son in the garden.,Elle voit le fils dans le jardin.,Accusative,Accusatif,Masculine,Masculin,
73,3,Er genießt _____ Leben.,das,Er genießt das Leben.,He enjoys life.,Il profite de la vie.,Accusative,Accusatif,Neuter,Neutre,
74,3,Sie schützt _____ Auge mit einer Brille.,das,Sie schützt das Auge mit einer Brille.,She protects the eye with glasses.,Elle protège ses yeux avec des lunettes.,Accusative,Accusatif,Neuter,Neutre,
75,3,Ich sehe _____ Haus.,das,Ich sehe das Haus.,I see the house.,Je vois la maison.,Accusative,Accusatif,Neuter,Neutre,
76,3,Ich sehe _____ Paar auf der Straße.,das,Ich sehe das Paar auf der Straße.,I see the couple on the street.,Je vois le couple dans la rue.,Accusative,Accusatif,Neuter,Neutre,
77,3,Wir unterstützen _____ Unternehmen.,das,Wir unterstützen das Unternehmen.,We support the company.,Nous accompagnons l'entreprise.,Accusative,Accusatif,Neuter,Neutre,
78,3,Sie malt _____ Bild.,das,Sie malt das Bild.,She paints the picture.,Elle peint le tableau.,Accusative,Accusatif,Neuter,Neutre,
79,3,Er liest _____ Buch.,das,Er liest das Buch.,He reads the book.,Il lit le livre.,Accusative,Accusatif,Neuter,Neutre,
80,3,Ich liebe _____ Möbelstück.,das,Ich liebe das Möbelstück.,I love the piece of furniture.,J'adore le meuble.,Accusative,Accusatif,Neuter,Neutre,
81,3,Wir erreichen _____ Ziel bald.,das,Wir erreichen das Ziel bald.,We'll reach the destination soon.,Nous arriverons bientôt à destination.,Accusative,Accusatif,Neuter,Neutre,
82,3,Er bringt _____ Auto zum Mechaniker.,das,Er bringt das Auto zum Mechaniker.,He brings the car to the mechanic.,Il amène la voiture chez le mécanicien.,Accusative,Accusatif,Neuter,Neutre,
83,3,Ich überquere _____ Straßen.,die,Ich überquere die Straßen.,I cross the streets.,Je traverse les rues.,Accusative,Accusatif,Plural,Pluriel,
84,3,Er schreibt _____ Wörter auf.,die,Er schreibt die Wörter auf.,He writes down the words.,Il écrit les mots.,Accusative,Accusatif,Plural,Pluriel,
85,3,Ich besuche _____ Freunde in Berlin.,die,Ich besuche die Freunde in Berlin.,I'm visiting friends in Berlin.,Je rends visite à des amis à Berlin.,Accusative,Accusatif,Plural,Pluriel,
86,3,Wir besuchen _____ Eltern am Sonntag.,die,Wir besuchen die Eltern am Sonntag.,We visit the parents on Sunday.,Nous rendons visite aux parents dimanche.,Accusative,Accusatif,Plural,Pluriel,
87,3,Er sieht _____ Gruppen im Park.,die,Er sieht die Gruppen im Park.,He sees the groups in the park.,Il voit les groupes dans le parc.,Accusative,Accusatif,Plural,Pluriel,
88,3,Sie öffnet _____ Türen.,die,Sie öffnet die Türen.,She opens the doors.,Elle ouvre les portes.,Accusative,Accusatif,Plural,Pluriel,
89,3,Er vergleicht _____ Preise.,die,Er vergleicht die Preise.,He compares the prices.,Il compare les prix.,Accusative,Accusatif,Plural,Pluriel,
90,3,Ich kaufe _____ Orangen.,die,Ich kaufe die Orangen.,I buy the oranges.,J'achète les oranges.,Accusative,Accusatif,Plural,Pluriel,
91,3,Sie deckt _____ Tische für das Abendessen.,die,Sie deckt die Tische für das Abendessen.,She sets the tables for dinner.,Elle met la table pour le dîner.,Accusative,Accusatif,Plural,Pluriel,
92,3,Wir besuchen _____ Kirchen am Sonntag.,die,Wir besuchen die Kirchen am Sonntag.,We visit the churches on Sunday.,Nous visitons les églises le dimanche.,Accusative,Accusatif,Plural,Pluriel,
93,4,Sind Sie mit _____ Regel zufrieden?,der,Sind Sie mit der Regel zufrieden?,Are you satisfied with the rule?,Êtes-vous satisfait de la règle ?,Dative,Datif,Feminine,Féminin,
94,4,Er schenkt _____ Tochter eine Puppe.,der,Er schenkt der Tochter eine Puppe.,He gives his daughter a doll.,Il donne une poupée à sa fille.,Dative,Datif,Feminine,Féminin,
95,4,Ich spiele mit _____ Katze.,der,Ich spiele mit der Katze.,I play with the cat.,Je joue avec le chat.,Dative,Datif,Feminine,Féminin,
96,4,Ich warte in _____ Schule auf dich.,der,Ich warte in der Schule auf dich.,I'm waiting for you at the school.,Je t'attends à l'école.,Dative,Datif,Feminine,Féminin,
97,4,Ich habe _____ Person für ihre Hilfe gedankt.,der,Ich habe der Person für ihre Hilfe gedankt.,I thanked the person for her help.,J'ai remercié la personne pour son aide.,Dative,Datif,Feminine,Féminin,
98,4,Ich vertraue _____ Nacht.,der,Ich vertraue der Nacht.,I trust the night.,Je fais confiance à la nuit.,Dative,Datif,Feminine,Féminin,
99,4,Nach _____ Weihnachtswoche können Sie eine Pause einlegen.,der,Nach der Weihnachtswoche können Sie eine Pause einlegen.,After Christmas week you can take a break.,"Après la semaine de Noël, vous pourrez faire une pause.",Dative,Datif,Feminine,Féminin,
100,4,Wir helfen _____ Mutter im Haushalt.,der,Wir helfen der Mutter im Haushalt.,We help the mother with the housework.,Nous aidons la mère dans les tâches ménagères.,Dative,Datif,Feminine,Féminin,
101,4,Ich widme _____ Frage viel Zeit.,der,Ich widme der Frage viel Zeit.,I devote a lot of time to the question.,Je consacre beaucoup de temps à la question.,Dative,Datif,Feminine,Féminin,
102,4,Der Tisch passt zu _____ Wohnung.,der,Der Tisch passt zu der Wohnung.,The table fits the apartment.,La table s'adapte à l'appartement.,Dative,Datif,Feminine,Féminin,
103,4,Sie gibt _____ Sohn ein Geschenk.,dem,Sie gibt dem Sohn ein Geschenk.,She gives a gift to the son.,Elle offre un cadeau à son fils.,Dative,Datif,Masculine,Masculin,
104,4,Der Lehrer hilft _____ Schüler.,dem,Der Lehrer hilft dem Schüler.,The teacher helps the student.,L'enseignant aide l'élève.,Dative,Datif,Masculine,Masculin,
105,4,Ich danke _____ Lehrer für die Hilfe.,dem,Ich danke dem Lehrer für die Hilfe.,I thank the teacher for the help.,Je remercie le professeur pour l'aide.,Dative,Datif,Masculine,Masculin,
106,4,Sie sollten das zweimal in _____ Monat reinigen.,dem,Sie sollten das zweimal in dem Monat reinigen.,You should clean that twice a month.,Vous devriez nettoyer cela deux fois par mois.,Dative,Datif,Masculine,Masculin,
107,4,Es war noch früh an _____ Morgen.,dem,Es war noch früh an dem Morgen.,It was still early in the morning.,Il était encore tôt le matin.,Dative,Datif,Masculine,Masculin,
108,4,Wir danken _____ Abend für die Ruhe.,dem,Wir danken dem Abend für die Ruhe.,We thank the evening for the peace and quiet.,Nous remercions le soir pour le calme et la tranquillité.,Dative,Datif,Masculine,Masculin,
109,4,Er dient _____ Staat als Beamter.,dem,Er dient dem Staat als Beamter.,He serves the state as an official.,Il sert l’État en tant que fonctionnaire.,Dative,Datif,Masculine,Masculin,
110,4,Sie gibt _____ Vater ein Geschenk.,dem,Sie gibt dem Vater ein Geschenk.,She gives a gift to the father.,Elle offre un cadeau au père.,Dative,Datif,Masculine,Masculin,
111,4,Ich habe immer Probleme mit _____ Nachnamen.,dem,Ich habe immer Probleme mit dem Nachnamen.,I always struggle with the last name.,J'ai toujours du mal avec le nom de famille.,Dative,Datif,Masculine,Masculin,
112,4,Er nickte mit _____ Kopf.,dem,Er nickte mit dem Kopf.,He nodded with the head.,Il hocha la tête.,Dative,Datif,Masculine,Masculin,
113,4,Die Iris dient _____ Auge.,dem,Die Iris dient dem Auge.,The iris serves the eye.,L'iris sert l'œil.,Dative,Datif,Neuter,Neutre,
114,4,Ich gratuliere _____ Paar zur Hochzeit.,dem,Ich gratuliere dem Paar zur Hochzeit.,I congratulate the couple on their wedding.,Je félicite le couple pour leur mariage.,Dative,Datif,Neuter,Neutre,
115,4,Sie gibt _____ Buch eine neue Bedeutung.,dem,Sie gibt dem Buch eine neue Bedeutung.,She gives the book new meaning.,Elle donne au livre un nouveau sens.,Dative,Datif,Neuter,Neutre,
116,4,Ich nähere mich _____ Auto.,dem,Ich nähere mich dem Auto.,I approach the car.,Je m'approche de la voiture.,Dative,Datif,Neuter,Neutre,
117,4,Sie nähert sich _____ Ziel langsam.,dem,Sie nähert sich dem Ziel langsam.,She approaches the goal slowly.,Elle s'approche lentement du but.,Dative,Datif,Neuter,Neutre,
118,4,Er dankt _____ Leben für seine Erfahrungen.,dem,Er dankt dem Leben für seine Erfahrungen.,He thanks life for its experiences.,Il remercie la vie pour ses expériences.,Dative,Datif,Neuter,Neutre,
119,4,Ich wohne in _____ Haus.,dem,Ich wohne in dem Haus.,I live in the house.,J'habite dans la maison.,Dative,Datif,Neuter,Neutre,
120,4,Wir helfen _____ Unternehmen zu wachsen.,dem,Wir helfen dem Unternehmen zu wachsen.,We help the company grow.,Nous aidons l'entreprise à grandir.,Dative,Datif,Neuter,Neutre,
121,4,Ihr Telefon liegt neben _____ Bild.,dem,Ihr Telefon liegt neben dem Bild.,Your phone is next to the picture.,Votre téléphone est à côté de la photo.,Dative,Datif,Neuter,Neutre,
122,4,In _____ Theaterstück singt die Hauptfigur.,dem,In dem Theaterstück singt die Hauptfigur.,In the play the main character sings.,"Dans la pièce, le personnage principal chante.",Dative,Datif,Neuter,Neutre,
123,4,Ich folge _____ Straßen bis zum Park.,den,Ich folge den Straßen bis zum Park.,I follow the streets to the park.,Je suis les rues jusqu'au parc.,Dative,Datif,Plural,Pluriel,
124,4,Ich mache Saft aus _____ Orangen.,den,Ich mache Saft aus den Orangen.,I make juice from the oranges.,Je fais du jus à partir des oranges.,Dative,Datif,Plural,Pluriel,
125,4,Er gibt _____ Tische eine neue Farbe.,den,Er gibt den Tische eine neue Farbe.,He gives the tables a new color.,Il donne aux tables une nouvelle couleur.,Dative,Datif,Plural,Pluriel,
126,4,Wir danken _____ Kirchen für ihre Unterstützung.,den,Wir danken den Kirchen für ihre Unterstützung.,We thank the churches for their support.,Nous remercions les églises pour leur soutien.,Dative,Datif,Plural,Pluriel,
127,4,Ich nähere mich _____ riesigen Türen.,den,Ich nähere mich den riesigen Türen.,I'm approaching the gigantic doors.,Je m'approche des portes gigantesques.,Dative,Datif,Plural,Pluriel,
128,4,Er ist mit _____ Preisen des Produkts nicht einverstanden.,den,Er ist mit den Preisen des Produkts nicht einverstanden.,He disagrees with the prices of the product.,Il n’est pas d’accord avec les prix du produit.,Dative,Datif,Plural,Pluriel,
129,4,Ich helfe _____ Freunden mit der Arbeit.,den,Ich helfe den Freunden meiner Eltern.,I help the friends of my parents.,J'aide les amis de mes parents.,Dative,Datif,Plural,Pluriel,
130,4,Wir danken _____ Eltern für ihren Einsatz.,den,Wir danken den Eltern für ihren Einsatz.,We thank the parents for their effort.,Nous remercions les parents pour leurs efforts.,Dative,Datif,Plural,Pluriel,
131,4,Ich glaube _____ Wörtern des Lehrers.,den,Ich glaube den Wörtern des Lehrers.,I believe the teacher's words.,Je crois aux paroles du professeur.,Dative,Datif,Plural,Pluriel,
132,4,Er hilft _____ Gruppen mit den Aufgaben.,den,Er hilft den Gruppen mit den Aufgaben.,He helps the groups with their assignments.,Il aide les groupes dans leurs devoirs.,Dative,Datif,Plural,Pluriel,
133,5,_____ Woche hat sieben Tage.,Die,Die Woche hat sieben Tage.,The week has seven days.,La semaine compte sept jours.,Nominative,Nominatif,Feminine,Féminin,
134,5,_____ Schule ist groß.,Die,Die Schule ist groß.,The school is big.,L'école est grande.,Nominative,Nominatif,Feminine,Féminin,
135,5,_____ Mutter ist nett.,Die,Die Mutter ist nett.,The mother is kind.,La mère est gentille.,Nominative,Nominatif,Feminine,Féminin,
136,5,_____ Katze schläft auf dem Sofa.,Die,Die Katze schläft auf dem Sofa.,The cat is sleeping on the sofa.,Le chat dort sur le canapé.,Nominative,Nominatif,Feminine,Féminin,
137,5,_____ Sprache ist schwer.,Die,Die Sprache ist schwer.,The language is difficult.,La langue est difficile.,Nominative,Nominatif,Feminine,Féminin,
138,5,_____ Wohnung ist teuer.,Die,Die Wohnung ist teuer.,The apartment is expensive.,L'appartement est cher.,Nominative,Nominatif,Feminine,Féminin,
139,5,_____ Person ist freundlich.,Die,Die Person ist freundlich.,The person is friendly.,La personne est sympathique.,Nominative,Nominatif,Feminine,Féminin,
140,5,_____ Nacht ist dunkel.,Die,Die Nacht ist dunkel.,The night is dark.,La nuit est sombre.,Nominative,Nominatif,Feminine,Féminin,
141,5,_____ Tochter ist freundlich.,Die,Die Tochter ist freundlich.,The daughter is kind.,La fille est gentille.,Nominative,Nominatif,Feminine,Féminin,
142,5,_____ Frage ist einfach.,Die,Die Frage ist einfach.,The question is simple.,La question est simple.,Nominative,Nominatif,Feminine,Féminin,
143,5,Wir besuchen _____ Schule jeden Tag.,die,Wir besuchen die Schule jeden Tag.,We visit the school every day.,Nous visitons l'école tous les jours.,Accusative,Accusatif,Feminine,Féminin,
144,5,Ich plane _____ Woche im Voraus.,die,Ich plane die Woche im Voraus.,I plan the week in advance.,Je planifie la semaine à l'avance.,Accusative,Accusatif,Feminine,Féminin,
145,5,Wir besuchen _____ Mutter am Wochenende.,die,Wir besuchen die Mutter am Wochenende.,We visit the mother on the weekend.,Nous rendons visite à la mère le week-end.,Accusative,Accusatif,Feminine,Féminin,
146,5,Ich kenne _____ Person nicht.,die,Ich kenne die Person nicht.,I don't know the person.,Je ne connais pas la personne.,Accusative,Accusatif,Feminine,Féminin,
147,5,Sie verbringt _____ Nacht im Hotel.,die,Sie verbringt die Nacht im Hotel.,She spends the night in a hotel.,Elle passe la nuit dans un hôtel.,Accusative,Accusatif,Feminine,Féminin,
148,5,Ich sehe _____ Katze.,die,Ich sehe die Katze.,I see the cat.,Je vois le chat.,Accusative,Accusatif,Feminine,Féminin,
149,5,Wir lernen _____ Sprache in der Schule.,die,Wir lernen die Sprache in der Schule.,We learn the language at school.,Nous apprenons la langue à l'école.,Accusative,Accusatif,Feminine,Féminin,
150,5,Wir mieten _____ Wohnung.,die,Wir mieten die Wohnung.,We rent the apartment.,Nous louons l'appartement.,Accusative,Accusatif,Feminine,Féminin,
151,5,Er liebt _____ Tochter sehr.,die,Er liebt die Tochter sehr.,He loves the daughter very much.,Il aime beaucoup sa fille.,Accusative,Accusatif,Feminine,Féminin,
152,5,Er beantwortet _____ Frage richtig.,die,Er beantwortet die Frage richtig.,He answers the question correctly.,Il répond correctement à la question.,Accusative,Accusatif,Feminine,Féminin,
153,5,Sind Sie mit _____ Regel zufrieden?,der,Sind Sie mit der Regel zufrieden?,Are you satisfied with the rule?,Êtes-vous satisfait de la règle ?,Dative,Datif,Feminine,Féminin,
154,5,Er schenkt _____ Tochter eine Puppe.,der,Er schenkt der Tochter eine Puppe.,He gives his daughter a doll.,Il donne une poupée à sa fille.,Dative,Datif,Feminine,Féminin,
155,5,Ich spiele mit _____ Katze.,der,Ich spiele mit der Katze.,I play with the cat.,Je joue avec le chat.,Dative,Datif,Feminine,Féminin,
156,5,Ich warte in _____ Schule auf dich.,der,Ich warte in der Schule auf dich.,I'm waiting for you at the school.,Je t'attends à l'école.,Dative,Datif,Feminine,Féminin,
157,5,Ich habe _____ Person für ihre Hilfe gedankt.,der,Ich habe der Person für ihre Hilfe gedankt.,I thanked the person for her help.,J'ai remercié la personne pour son aide.,Dative,Datif,Feminine,Féminin,
158,5,Ich vertraue _____ Nacht.,der,Ich vertraue der Nacht.,I trust the night.,Je fais confiance à la nuit.,Dative,Datif,Feminine,Féminin,
159,5,Nach _____ Weihnachtswoche können Sie eine Pause einlegen.,der,Nach der Weihnachtswoche können Sie eine Pause einlegen.,After Christmas week you can take a break.,"Après la semaine de Noël, vous pourrez faire une pause.",Dative,Datif,Feminine,Féminin,
160,5,Wir helfen _____ Mutter im Haushalt.,der,Wir helfen der Mutter im Haushalt.,We help the mother with the housework.,Nous aidons la mère dans les tâches ménagères.,Dative,Datif,Feminine,Féminin,
161,5,Ich widme _____ Frage viel Zeit.,der,Ich widme der Frage viel Zeit.,I devote a lot of time to the question.,Je consacre beaucoup de temps à la question.,Dative,Datif,Feminine,Féminin,
162,5,Der Tisch passt zu _____ Wohnung.,der,Der Tisch passt zu der Wohnung.,The table fits the apartment.,La table s'adapte à l'appartement.,Dative,Datif,Feminine,Féminin,
163,6,_____ Vater ist müde.,Der,Der Vater ist müde.,The father is tired.,Le père est fatigué.,Nominative,Nominatif,Masculine,Masculin,
164,6,_____ Name ist bekannt.,Der,Der Name ist bekannt.,The name is familiar.,Le nom est familier.,Nominative,Nominatif,Masculine,Masculin,
165,6,_____ Kopf tut weh.,Der,Der Kopf tut weh.,The head hurts.,La tête me fait mal.,Nominative,Nominatif,Masculine,Masculin,
166,6,_____ Lehrer ist nett.,Der,Der Lehrer ist nett.,The teacher is kind.,Le professeur est gentil.,Nominative,Nominatif,Masculine,Masculin,
167,6,_____ Monat hat vier Wochen.,Der,Der Monat hat vier Wochen.,The month has four weeks.,Le mois a quatre semaines.,Nominative,Nominatif,Masculine,Masculin,
168,6,_____ Morgen ist schön.,Der,Der Morgen ist schön.,The morning is beautiful.,La matinée est belle.,Nominative,Nominatif,Masculine,Masculin,
169,6,_____ Abend ist ruhig.,Der,Der Abend ist ruhig.,The evening is quiet.,La soirée est calme.,Nominative,Nominatif,Masculine,Masculin,
170,6,_____ Staat ist reich.,Der,Der Staat ist reich.,The state is rich.,L'État est riche.,Nominative,Nominatif,Masculine,Masculin,
171,6,_____ Schüler ist fleißig.,Der,Der Schüler ist fleißig.,The student is hardworking.,L'étudiant est travailleur.,Nominative,Nominatif,Masculine,Masculin,
172,6,_____ Sohn ist klug.,Der,Der Sohn ist klug.,The son is smart.,Le fils est intelligent.,Nominative,Nominatif,Masculine,Masculin,
173,6,Sie ruft _____ Vater an.,den,Sie ruft den Vater an.,She calls the father.,Elle appelle le père.,Accusative,Accusatif,Masculine,Masculin,
